etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Standard Albanian | Output {GOLD}
134    | ... | ... | ... | ... | ... | ... | #ɡˈʊrstɪ# | *#ɡˈʊrʃtɪ# | *#ɡˈʊrʃtɪ# | *#ɡˈɔːʷrʃt# {GOLD: >*} | *#ɡˈɔːʷɾʃt# | *#ɡˈʊɾʃt# | *#ɡˈʊɾt͡ʃt# | *#ɡˈʊɾt͡ʃt# {GOLD: #ɡɾˈuʃt#}
135    | ... | ... | ... | ... | ... | ... | #lˠˌɒpˈuʃɪ# | *#lˠˌɒpˈuʃɪ# | *#lˠˌɒpˈuʃɪ# | *#lˠˌapˈuːʃ# {GOLD: >*} | *#lˠˌapˈuːʃ# | *#lˠəpˈuʃ# | *#lˠəpˈuʃ# | *#lˠəpˈuʃ# {GOLD: #lˠapˈuʃ#}
136    | ... | ... | ... | ... | ... | ... | #lˠˌɒpˈuʃɑ# | *#lˠˌɒpˈuʃɑ# | *#lˠˌɒpˈuʃɑ# | *#lˠˌapˈuːʃə# {GOLD: >*} | *#lˠˌapˈuːʃə# | *#lˠəpˈuʃə# | *#lˠəpˈuʃə# | *#lˠəpˈuʃə# {GOLD: #lˠapˈuʃə#}
137    | ... | ... | ... | ... | ... | ... | #lˠˈɒskɑ# | *#lˠˈɒʃkɑ# | *#lˠˈɒʃkɑ# | *#lˠˈaːʃkə# {GOLD: >*} | *#lˠˈaːʃkə# | *#lˠˈaʃkə# | *#lˠˈat͡ʃkə# | *#lˠˈat͡ʃkə# {GOLD: #lˠˈaʃkə#}
138    | ... | ... | ... | ... | ... | ... | #lˠˈɑzɪt͡sɑ# | *#lˠˈɑzɪt͡sɑ# | *#lˠˈɑzɪt͡sɑ# | *#lˠˈaːzt͡sə# {GOLD: >*} | *#lˠˈaːzt͡sə# | *#lˠˈazt͡sə# | *#lˠˈazt͡sə# | *#lˠˈazt͡sə# {GOLD: #lˠˈat͡sə#}
139    | ... | ... | ... | ... | ... | ... | #lˠˈɒzʊkɑ# | *#lˠˈɒzʊkɑ# | *#lˠˈɒzʊkɑ# | *#lˠˈaːzkə# {GOLD: >*} | *#lˠˈaːzkə# | *#lˠˈazkə# | *#lˠˈazkə# | *#lˠˈazkə# {GOLD: #lˠˈaskə#}
140    | ... | ... | ... | ... | ... | ... | #lˠˈɒzɒrɑ# | *#lˠˈɒzɒrɑ# | *#lˠˈɒzɒrɑ# | *#lˠˈaːzarə# {GOLD: >*} | *#lˠˈaːzaɾə# | *#lˠˈazaɾə# | *#lˠˈazaɾə# | *#lˠˈazaɾə# {GOLD: #lˠˈazuɾə#}
141    | ... | ... | ... | ... | ... | ... | #lˠˈɒ̃ɡɑ# | *#lˠˈɒ̃ɡɑ# | *#lˠˈɒ̃ɡɑ# | *#lˠˈãɡə# {GOLD: #lˠˈɑ̃ŋkə#} | *#lˠˈə̃ɡə# | *#lˠˈəɡə# | *#lˠˈəɡə# | *#lˠˈəɡə# {GOLD: #lˠˈəŋɡə#}
142    | ... | ... | ... | ... | ... | ... | ... | #lˌɒmˈitɪ# | *#lˌɒmˈitɪ# | *#lˌãmˈit# {GOLD: >*} | *#lˌə̃mˈit# | *#ləmˈit# | *#ləmˈit# | *#ləmˈit# {GOLD: #lˠɔmˈit#}
143    | ... | ... | ... | ... | ... | ... | ... | #lˈɒskɑ# | *#lˈɒskɑ# | *#lˈaːskə# {GOLD: >*} | *#lˈaːskə# | *#lˈaskə# | *#lˈaskə# | *#lˈaskə# {GOLD: #lˠˈɔskə#}
144    | ... | ... | ... | ... | ... | ... | ... | #lˈɯkɑ# | *#lˈɯkɑ# | *#lˈukə# {GOLD: >*} | *#lˈukə# | *#lˈukə# | *#lˈukə# | *#lˈukə# {GOLD: #lˠˈukə#}
145    | ... | ... | ... | ... | ... | ... | ... | ... | #ˌukrˈɑjɑ# | *#hˌukrˈaː# {GOLD: >*} | *#hˌukɾˈaː# | *#həkɾˈa# | *#həkɾˈa# | *#həkɾˈa# {GOLD: #ukɾˈajə#}
146    | ... | ... | ... | ... | ... | ... | ... | ... | #ˌudˈɒbɪ# | *#hˌudˈab# {GOLD: >*} | *#hˌudˈab# | *#hədˈab# | *#hədˈab# | *#hədˈab# {GOLD: #udˈɔb#}
