etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
29     | #ˌɑnɡˈustum# | *#ˌɑnɡˈustu# | *#ˌɑnɡˈustu# | *#ənɡˈustu# | *#ənɡˈuʃtu# | *#ənɡˈuʃtu# | *#hə̃nɡˈuːʃt# {GOLD: #n̩ɡˈuʃt#} | *#hə̃nɡˈuːʃt# {GOLD: >*} | *#hənɡˈuʃt# {GOLD: #əŋɡˈuʃt#} | *#hənɡˈut͡ʃt# | *#hənɡˈut͡ʃt# {GOLD: #ŋɡˈuʃt#}
30     | #ˌɑnɡustˈɑːnioː# | *#ˌɑnɡustˈɑːɲoː# | *#ˌɑnɡustˈɑɲø# | *#ənɡəstˈɑɲɛ# | *#ənɡəʃtˈɑɲɛ# | *#ənɡəʃtˈɑɲɛ# | *#hə̃nɡəʃtˈãːɲ# {GOLD: >*} | *#hə̃nɡəʃtˈəːɲ# {GOLD: >*} | *#hənɡəʃtˈəɲ# {GOLD: >*} | *#hənɡət͡ʃtˈəɲ# | *#hənɡət͡ʃtˈəɲ# {GOLD: #ŋɡuʃtˈɔj#}
31     | #ˌɑntˈoːnium# | *#ˌɑntˈoːɲu# | *#ˌɑntˈøɲu# | *#əntˈɛɲu# | *#əndˈɛɲu# | *#əndˈɛɲu# | *#hə̃ndˈɛ̃ːɲ# {GOLD: #n̩dˈuo̯#} | *#hə̃ndˈɛ̃ːɲ# {GOLD: ...} | ... {GOLD: ...} | ... | ... {GOLD: ...}
32     | #ˌɑnˈullɑm# | *#ˌɑnˈulɑ# | *#ˌɑnˈulɑ# | *#nˈulɑ# | *#nˈulɑ# | *#nˈulɑ# | *#nˈuːlə# {GOLD: >*} | *#nˈuːlə# {GOLD: >*} | *#nˈulə# {GOLD: >*} | *#nˈulə# | *#nˈulə# {GOLD: #nˈulə#}
33     | #ˌɑppˌɑrɑmˈentum# | *#ˌɑppˌɑrɑmˈentu# | *#ˌɑppˌɑrɑmˈɛntu# | *#ppərəmjˈɛntu# | *#ppərəmjˈɛndu# | *#ppərəmjˈɛndu# | *#ppərə̃mjˈɛ̃ːnd# {GOLD: #paɾmˈɛ̃nd#} | *#ppəɾə̃mjˈɛ̃ːnd# {GOLD: >*} | *#ppəɾəmjˈɛnd# {GOLD: >*} | *#ppəɾəmjˈɛnd# | *#ppəɾəmjˈɛn# {GOLD: #paɾmˈɛnd#}
34     | #ˌɑprˈiːlem# | *#ˌɑprˈiːʎe# | *#ˌɑprˈiʎɛ# | *#prˈiʎɛ# | *#prˈiʎɛ# | *#prˈiʎɛ# | *#prˈiːʎ# {GOLD: >*} | *#pɾˈiːʎ# {GOLD: >*} | *#pɾˈij# {GOLD: >*} | *#pɾˈij# | *#pɾˈij# {GOLD: #pɾˈilˠ#}
35     | #ˈɑptum# | *#ˈɑptu# | *#ˈɑptu# | *#ˈɑptu# | *#ˈɑftu# | *#ˈɑftu# | *#hˈaːft# {GOLD: >*} | *#hˈaːft# {GOLD: >*} | *#hˈaft# {GOLD: >*} | *#hˈaft# | *#hˈaft# {GOLD: #ˈaft#}
36     | #ˌɑrˈeːnɑm# | *#ˌɑrˈeːnɑ# | *#ˌɑrˈenɑ# | *#rˈɛnɑ# | *#rˈɛnɑ# | *#rˈɛnɑ# | *#rˈɛ̃ːnə# {GOLD: #ɾˈɑ̃ɾ̃ə#} | *#ɾˈɛ̃ːɾə# {GOLD: >*} | *#ɾˈɛɾə# {GOLD: >*} | *#ɾˈɛɾə# | *#ɾˈɛɾə# {GOLD: #ɾˈəɾə#}
37     | #ˌɑrɡˈentum# | *#ˌɑrɡˈentu# | *#ˌɑrɡˈɛntu# | *#ərɡjˈɛntu# | *#ərɟjˈɛndu# | *#ərɟjˈɛndu# | *#hərɟjˈɛ̃ːnd# {GOLD: #ɾ̩ɟˈɑ̃nt#} | *#həɾɟjˈɛ̃ːnd# {GOLD: >*} | *#həɾɟjˈɛnd# {GOLD: #əɾɟˈənd#} | *#həɾɟjˈɛnd# | *#həɾɟjˈɛn# {GOLD: #ɾɟˈənd#}
38     | #ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈɑrmɑ# | *#hˈaːrmə# {GOLD: >*} | *#hˈaːɾmbə# {GOLD: >*} | *#hˈaɾmbə# {GOLD: >*} | *#hˈaɾmbə# | *#hˈaɾmbə# {GOLD: #ˈaɾmə#}
