etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
630    | #mˌedikˈɑstrum# | *#mˌedikˈɑstru# | *#mˌɛekˈɑstru# | *#məəkˈɑstru# | *#məəkˈɑʃtru# | *#məəkˈɑʃtru# | *#məəkˈaːʃtr# {GOLD: >*} | *#mbəəkˈaːʃtɾ# {GOLD: >*} | *#mbəəkˈaʃtɾ# {GOLD: >*} | *#mbəəkˈat͡ʃtɾ# | *#mbəəkˈat͡ʃtɾ# {GOLD: #məɡˈaʃtəɾ#}
631    | #mˈedikum# | *#mˈedəku# | *#mˈɛdku# | *#mjˈɛdku# | *#mjˈɛtku# | *#mjˈɛtku# | *#mjˈɛtk# {GOLD: #mjˈɛːk#} | *#mjˈɛtk# {GOLD: #mjˈɛːk#} | *#mjˈɛtk# {GOLD: >*} | *#mjˈɛtk# | *#mjˈɛtk# {GOLD: #mjˈɛk#}
632    | #mˌeditˈɑːnioː# | *#mˌeditˈɑːɲoː# | *#mˌɛetˈɑɲø# | *#məətˈɑɲɛ# | *#məətˈɑɲɛ# | *#məətˈɑɲɛ# | *#məətˈãːɲ# {GOLD: >*} | *#mbəətˈəːɲ# {GOLD: >*} | *#mbəətˈəɲ# {GOLD: >*} | *#mbəətˈəɲ# | *#mbəətˈəɲ# {GOLD: #mɛjtˈɔj#}
633    | #mˈedium# | *#mˈedju# | *#mˈɛdju# | *#mˈidju# | *#mˈi?1̬u# | *#mˈi?1̬u# | *#mˈi?1̬# {GOLD: >*} | *#mˈi?1̬# {GOLD: >*} | *#mˈi?1̬# {GOLD: >*} | *#mˈi?1̬# | *#mˈi?1̬# {GOLD: #mjˈɛz#}
634    | #mˌensˈoːrɑ# | *#mˌeːsˈoːrɑ# | *#mˌisˈorɑ# | *#məsˈɔrɑ# | *#məʃˈɔrɑ# | *#məʃˈɔrɑ# | *#məʃˈɔːrə# {GOLD: >*} | *#mbəʃˈɔːɾə# {GOLD: >*} | *#mbəʃˈɔɾə# {GOLD: >*} | *#mbəʃˈɔɾə# | *#mbəʃˈɔɾə# {GOLD: #məʃˈɛɾə#}
635    | #mˈentɑ# | *#mˈentɑ# | *#mˈɛntɑ# | *#mjˈɛntɑ# | *#mjˈɛndɑ# | *#mjˈɛndɑ# | *#mjˈɛ̃ːndə# {GOLD: >*} | *#mjˈɛ̃ːndə# {GOLD: >*} | *#mjˈɛndə# {GOLD: >*} | *#mjˈɛndə# | *#mjˈɛnə# {GOLD: #mˈɛndə#}
636    | #mˈentem# | *#mˈente# | *#mˈɛntɛ# | *#mˈintɛ# | *#mˈindɛ# | *#mˈindɛ# | *#mˈĩːnd# {GOLD: >*} | *#mˈĩːnd# {GOLD: >*} | *#mˈind# {GOLD: >*} | *#mˈind# | *#mˈin# {GOLD: #mˈɛnd#}
637    | #mˌeriːdiˈɑːnioː# | *#mˌeriːdjˈɑːɲoː# | *#mˌɛridjˈɑɲø# | *#mərədjˈɑɲɛ# | *#mərə?1̬ˈɑɲɛ# | *#mərə?1̬ˈɑɲɛ# | *#mər?1̬ˈãːɲ# {GOLD: >*} | *#mbəɾ?1̬ˈəːɲ# {GOLD: >*} | *#mbəɾ?1̬ˈəɲ# {GOLD: >*} | *#mbəɾ?1̬ˈəɲ# | *#mbəɾ?1̬ˈəɲ# {GOLD: #məɾzˈɛj#}
638    | #mˌerˈiːdiem# | *#mˌerˈiːdje# | *#mˌɛrˈidjɛ# | *#mərˈidjɛ# | *#mərˈi?1̬ɛ# | *#mərˈi?1̬ɛ# | *#mərˈi?1̬# {GOLD: >*} | *#mbəɾˈi?1̬# {GOLD: >*} | *#mbəɾˈi?1̬# {GOLD: >*} | *#mbəɾˈi?1̬# | *#mbəɾˈi?1̬# {GOLD: #məɾˈiz#}
639    | #mˌerɡˈonioː# | *#mˌerɡˈoɲoː# | *#mˌɛrɡˈoɲø# | *#mərɡˈɔɲɛ# | *#mərɡˈɔɲɛ# | *#mərɡˈɔɲɛ# | *#mərɡˈɔ̃ːɲ# {GOLD: >*} | *#mbəɾɡˈɔ̃ːɲ# {GOLD: >*} | *#mbəɾɡˈɔɲ# {GOLD: >*} | *#mbəɾɡˈɔɲ# | *#mbəɾɡˈɔɲ# {GOLD: #məɾɡˈɔj#}
640    | ... | ... | *#mˌɛrkˈɑrju# | *#mərkˈɛrju# | *#mərcˈɛrju# | *#mərcˈɛrju# | *#mərcˈɛːrj# {GOLD: >*} | *#mbəɾcˈɛːɾj# {GOLD: >*} | *#mbəɾcˈɛɾj# {GOLD: >*} | *#mbəɾcˈɛɾj# | *#mbəɾt͡ʃˈɛɾj# {GOLD: #məɾcˈɛɾ#}
641    | #mˌerkˈurɑ# | *#mˌerkˈurɑ# | *#mˌɛrkˈurɑ# | *#mərkˈurɑ# | *#mərkˈurɑ# | *#mərkˈurɑ# | *#mərkˈuːrə# {GOLD: >*} | *#mbəɾkˈuːɾə# {GOLD: >*} | *#mbəɾkˈuɾə# {GOLD: >*} | *#mbəɾkˈuɾə# | *#mbəɾkˈuɾə# {GOLD: #məɾkˈuɾə#}
642    | #mˌerulˈɑːneɑ# | *#mˌerulːˈɑːɲɑ# | *#mˌɛrulːˈɑɲɑ# | *#mərəlːˈɑɲɑ# | *#mərəlːˈɑɲɑ# | *#mərəlːˈɑɲɑ# | *#mərəlːˈãːɲə# {GOLD: >*} | *#mbəɾəlˠˈəːɲə# {GOLD: >*} | *#mbəɾəlˠˈəɲə# {GOLD: >*} | *#mbəɾəlˠˈəɲə# | *#mbəɾəlˠˈəɲə# {GOLD: #məlˠˈɛɲə#}
643    | #mˈetulɑ# | *#mˈetəlːɑ# | *#mˈɛtlːɑ# | *#mjˈɛtlːɑ# | *#mjˈɛtlːɑ# | *#mjˈɛtlːɑ# | *#mjˈɛtlːə# {GOLD: >*} | *#mjˈɛtlˠə# {GOLD: >*} | *#mjˈɛtlˠə# {GOLD: >*} | *#mjˈɛtlˠə# | *#mjˈɛtlˠə# {GOLD: #nˈɛtulˠ#}
644    | #mˌiɡrˈɑːnioː# | *#mˌiɡrˈɑːɲoː# | *#mˌeɡrˈɑɲø# | *#məɡrˈɑɲɛ# | *#məɡrˈɑɲɛ# | *#məɡrˈɑɲɛ# | *#mɡrˈãːɲ# {GOLD: >*} | *#mɡɾˈəːɲ# {GOLD: >*} | *#mɡɾˈəɲ# {GOLD: >*} | *#mɡɾˈəɲ# | *#mɡɾˈəɲ# {GOLD: #məɾɡˈɔj#}
645    | #mˈiːliɑm# | *#mˈiːʎɑ# | *#mˈiʎɑ# | *#mˈiʎɑ# | *#mˈiʎɑ# | *#mˈiʎɑ# | *#mˈiːʎə# {GOLD: >*} | *#mˈiːʎə# {GOLD: >*} | *#mˈijə# {GOLD: >*} | *#mˈijə# | *#mˈijə# {GOLD: #mˈijə#}
646    | #mˌinistrˈɑːnioː# | *#mˌinistrˈɑːɲoː# | *#mˌenestrˈɑɲø# | *#mənəstrˈɑɲɛ# | *#mənəʃtrˈɑɲɛ# | *#mənəʃtrˈɑɲɛ# | *#mə̃nəʃtrˈãːɲ# {GOLD: >*} | *#mbə̃ɾəʃtɾˈəːɲ# {GOLD: >*} | *#mbəɾəʃtɾˈəɲ# {GOLD: #maɾʃtɾˈɔj#} | *#mbəɾət͡ʃtɾˈəɲ# | *#mbəɾət͡ʃtɾˈəɲ# {GOLD: #maɾʃtˈɔj#}
647    | ... | ... | *#mˌirˈɑkulu# | *#mərˈɑkulu# | *#mərˈɑkulu# | *#mərˈɑkulu# | *#mərˈakul# {GOLD: #məɾˈɛkulˠ#} | *#mbəɾˈakul# {GOLD: >*} | *#mbəɾˈakul# {GOLD: >*} | *#mbəɾˈakul# | *#mbəɾˈakul# {GOLD: #mɾˈɛkulˠ#}
648    | ... | ... | *#mˌirˌɑkulˈoɲø# | *#mərəkəlˈɔɲɛ# | *#mərəkəlˈɔɲɛ# | *#mərəkəlˈɔɲɛ# | *#mərkəlˈɔ̃ːɲ# {GOLD: #məɾakulˠˈi#} | *#mbəɾkəlˈɔ̃ːɲ# {GOLD: >*} | *#mbəɾkəlˈɔɲ# {GOLD: #mɾˈakulˠ#} | *#mbəɾkəlˈɔɲ# | *#mbəɾkəlˈɔɲ# {GOLD: ...}
649    | #mˌiːrˈɑːnioː# | *#mˌiːrˈɑːɲoː# | *#mˌirˈɑɲø# | *#mərˈɑɲɛ# | *#mərˈɑɲɛ# | *#mərˈɑɲɛ# | *#mərˈãːɲ# {GOLD: >*} | *#mbəɾˈəːɲ# {GOLD: >*} | *#mbəɾˈəɲ# {GOLD: >*} | *#mbəɾˈəɲ# | *#mbəɾˈəɲ# {GOLD: #məɾˈɛj#}
650    | ... | ... | *#mˈɛssɑ# | *#mjˈɛssɑ# | *#mjˈɛʃʃɑ# | *#mjˈɛʃʃɑ# | *#mjˈɛːʃʃə# {GOLD: >*} | *#mjˈɛːʃʃə# {GOLD: >*} | *#mjˈɛʃʃə# {GOLD: >*} | *#mjˈɛt͡ʃʃə# | *#mjˈɛt͡ʃʃə# {GOLD: #mˈɛʃə#}
651    | #mˌiserˈɑːriː# | *#mˌiserˈɑːriː# | *#mˌesɛrˈɑri# | *#məsərˈie̯ri# | *#məʃərˈie̯ri# | *#məʃərˈie̯ri# | *#məʃərˈie̯r# {GOLD: #miʃəɾˈie̯ɾ#} | *#mbəʃəɾˈie̯ɾ# {GOLD: #məʃəɾˈie̯ɾ#} | *#mbəʃəɾˈie̯ɾ# {GOLD: ...} | ... | ... {GOLD: ...}
652    | #mˌisˈeriɑ# | *#mˌisˈerjɑ# | *#mˌesˈɛrjɑ# | *#məsˈirjɑ# | *#məʃˈirjɑ# | *#məʃˈirjɑ# | *#məʃˈiːrɛ# {GOLD: >*} | *#mbəʃˈiːɾɛ# {GOLD: >*} | *#mbəʃˈiɾɛ# {GOLD: >*} | *#mbəʃˈiɾɛ# | *#mbəʃˈiɾɛ# {GOLD: #məʃˈiɾə#}
653    | #mˈodium# | *#mˈodju# | *#mˈodju# | *#mˈɛdju# | *#mˈɛ?1̬u# | *#mˈɛ?1̬u# | *#mˈɛ?1̬# {GOLD: #mˈuz#} | *#mˈɛ?1̬# {GOLD: >*} | *#mˈɛ?1̬# {GOLD: >*} | *#mˈɛ?1̬# | *#mˈɛ?1̬# {GOLD: #mˈuz#}
654    | #mˈodum# | *#mˈodu# | *#mˈou# | *#mˈɔu# | *#mˈɔu# | *#mˈɔu# | *#mˈɔ# {GOLD: >*} | *#mˈɔ# {GOLD: >*} | *#mˈɔ# {GOLD: >*} | *#mˈɔ# | *#mˈɔ# {GOLD: #mˈɔð#}
655    | #mˌolˈɑːrem# | *#mˌolːˈɑːre# | *#mˌolːˈɑrɛ# | *#məlːˈie̯rɛ# | *#məlːˈie̯rɛ# | *#məlːˈie̯rɛ# | *#məlːˈie̯r# {GOLD: #mulˠˈaːɾ#} | *#mbəlˠˈie̯ɾ# {GOLD: >*} | *#mbəlˠˈie̯ɾ# {GOLD: >*} | *#mbəlˠˈie̯ɾ# | *#mbəlˠˈie̯ɾ# {GOLD: #mulˠˈaɾ#}
656    | #mˌolˈiːnum# | *#mˌoʎˈiːnu# | *#mˌoʎˈinu# | *#məʎˈinu# | *#məʎˈinu# | *#məʎˈinu# | *#məʎˈĩː# {GOLD: #mulˠˈĩː#} | *#mbəʎˈĩː# {GOLD: >*} | *#mbəjˈi# {GOLD: >*} | *#mbəjˈi# | *#mbəjˈi# {GOLD: #mulˠˈi#}
657    | #mˌoːmˈentum# | *#mˌoːmˈentu# | *#mˌømˈɛntu# | *#məmjˈɛntu# | *#məmjˈɛndu# | *#məmjˈɛndu# | *#mə̃mjˈɛ̃ːnd# {GOLD: >*} | *#mbə̃mjˈɛ̃ːnd# {GOLD: >*} | *#mbəmjˈɛnd# {GOLD: >*} | *#mbəmjˈɛnd# | *#mbəmjˈɛn# {GOLD: #mˈənd#}
658    | ... | ... | *#mˈonɑku# | *#mˈɔnɑku# | *#mˈɔnɑku# | *#mˈɔnɑku# | *#mˈɔ̃ːnak# {GOLD: #mˈũɾ̃ək#} | *#mˈɔ̃ːɾak# {GOLD: #mˈũɾɡ#} | *#mˈɔɾak# {GOLD: >*} | *#mˈɔɾak# | *#mˈɔɾak# {GOLD: #mˈuɾɡ#}
659    | ... | ... | ... | *#mˈɔstru# | *#mˈɔʃtru# | *#mˈɔʃtru# | *#mˈɔːʃtr# {GOLD: #mˈɔʃtɾ̩#} | *#mˈɔːʃtɾ# {GOLD: ...} | ... {GOLD: ...} | ... | ... {GOLD: ...}
660    | #mˌortˈɑːliɑ# | *#mˌortˈɑːʎɑ# | *#mˌortˈɑʎɑ# | *#mərtˈɛʎɑ# | *#mərtˈɛʎɑ# | *#mərtˈɛʎɑ# | *#mərtˈɛːʎə# {GOLD: >*} | *#mbəɾtˈɛːʎə# {GOLD: >*} | *#mbəɾtˈɛjə# {GOLD: >*} | *#mbəɾtˈɛjə# | *#mbəɾtˈɛjə# {GOLD: #muɾtˈajə#}
661    | #mˈortem# | *#mˈorte# | *#mˈortɛ# | *#mˈɛrtɛ# | *#mˈɛrtɛ# | *#mˈɛrtɛ# | *#mˈɛːrt# {GOLD: >*} | *#mˈɛːɾt# {GOLD: >*} | *#mˈɛɾt# {GOLD: >*} | *#mˈɛɾt# | *#mˈɛɾt# {GOLD: #mˈɔɾt#}
662    | #mˈuːkum# | *#mˈuːku# | *#mˈyku# | *#mˈyku# | *#mˈyku# | *#mˈyku# | *#mˈyk# {GOLD: >*} | *#mˈyk# {GOLD: >*} | *#mˈyk# {GOLD: >*} | *#mˈyk# | *#mˈyk# {GOLD: #mˈyk#}
663    | #mˈulɑ# | *#mˈulːɑ# | *#mˈulːɑ# | *#mˈulːɑ# | *#mˈulːɑ# | *#mˈulːɑ# | *#mˈuːlːə# {GOLD: >*} | *#mˈuːlˠə# {GOLD: >*} | *#mˈulˠə# {GOLD: >*} | *#mˈulˠə# | *#mˈulˠə# {GOLD: #mˈulˠə#}
664    | #mˌulkˈeːnioː# | *#mˌulkˈeːɲoː# | *#mˌulkˈeɲø# | *#məlkˈɛɲɛ# | *#məlcˈɛɲɛ# | *#məlcˈɛɲɛ# | *#məlcˈɛ̃ːɲ# {GOLD: >*} | *#mbəlcˈɛ̃ːɲ# {GOLD: >*} | *#mbəlcˈɛɲ# {GOLD: >*} | *#mbəlcˈɛɲ# | *#mbəlt͡ʃˈɛɲ# {GOLD: #məlkˈɔj#}
665    | #mˈuːlum# | *#mˈuːlːu# | *#mˈylːu# | *#mˈylːu# | *#mˈylːu# | *#mˈylːu# | *#mˈyːlː# {GOLD: >*} | *#mˈyːlˠ# {GOLD: >*} | *#mˈylˠ# {GOLD: >*} | *#mˈylˠ# | *#mˈylˠ# {GOLD: #mˈylˠ#}
666    | #mˌurmurˈɑːnioː# | *#mˌurmurˈɑːɲoː# | *#mˌurmurˈɑɲø# | *#mərmərˈɑɲɛ# | *#mərmərˈɑɲɛ# | *#mərmərˈɑɲɛ# | *#mərmərˈãːɲ# {GOLD: >*} | *#mbəɾmbəɾˈəːɲ# {GOLD: >*} | *#mbəɾmbəɾˈəɲ# {GOLD: >*} | *#mbəɾmbəɾˈəɲ# | *#mbəɾmbəɾˈəɲ# {GOLD: #muɾmuɾˈɔj#}
667    | #mˈuːrum# | *#mˈuːru# | *#mˈyru# | *#mˈyru# | *#mˈyru# | *#mˈyru# | *#mˈyːr# {GOLD: >*} | *#mˈyːɾ# {GOLD: >*} | *#mˈyɾ# {GOLD: >*} | *#mˈyɾ# | *#mˈyɾ# {GOLD: #mˈuɾ#}
668    | #mˌuskelˈɑːrium# | *#mˌuskelːˈɑːrju# | *#mˌuskɛlːˈɑrju# | *#məskəlːˈɛrju# | *#məʃkəlːˈɛrju# | *#məʃkəlːˈɛrju# | *#məʃkəlːˈɛːrj# {GOLD: >*} | *#mbəʃkəlˠˈɛːɾj# {GOLD: >*} | *#mbəʃkəlˠˈɛɾj# {GOLD: >*} | *#mbət͡ʃkəlˠˈɛɾj# | *#mbət͡ʃkəlˠˈɛɾj# {GOLD: #muʃkəlˠˈye̯ɾ#}
669    | #mˌuskˈoneɑ# | *#mˌuskˈoɲɑ# | *#mˌuskˈoɲɑ# | *#məskˈɔɲɑ# | *#məʃkˈɔɲɑ# | *#məʃkˈɔɲɑ# | *#məʃkˈɔ̃ːɲə# {GOLD: >*} | *#mbəʃkˈɔ̃ːɲə# {GOLD: >*} | *#mbəʃkˈɔɲə# {GOLD: >*} | *#mbət͡ʃkˈɔɲə# | *#mbət͡ʃkˈɔɲə# {GOLD: #muʃkˈɔɲə#}
670    | #mˈuskulum# | *#mˈuskəlːu# | *#mˈusklːu# | *#mˈusklːu# | *#mˈuʃklːu# | *#mˈuʃklːu# | *#mˈuːʃklː# {GOLD: >*} | *#mˈuːʃklˠ# {GOLD: >*} | *#mˈuʃklˠ# {GOLD: >*} | *#mˈut͡ʃklˠ# | *#mˈut͡ʃklˠ# {GOLD: #mˈuʃkulˠ#}
671    | #mˈuːskum# | *#mˈuːsku# | *#mˈysku# | *#mˈysku# | *#mˈyʃku# | *#mˈyʃku# | *#mˈyːʃk# {GOLD: >*} | *#mˈyːʃk# {GOLD: >*} | *#mˈyʃk# {GOLD: >*} | *#mˈyt͡ʃk# | *#mˈyt͡ʃk# {GOLD: #mˈyʃk#}
672    | #mˈustum# | *#mˈustu# | *#mˈustu# | *#mˈustu# | *#mˈuʃtu# | *#mˈuʃtu# | *#mˈuːʃt# {GOLD: >*} | *#mˈuːʃt# {GOLD: >*} | *#mˈuʃt# {GOLD: >*} | *#mˈut͡ʃt# | *#mˈut͡ʃt# {GOLD: #mˈuʃt#}
673    | #mˌyriːkˈiːniɑ# | *#mˌiriːkˈiːɲɑ# | *#mˌerikˈiɲɑ# | *#mərəkˈiɲɑ# | *#mərəcˈiɲɑ# | *#mərəcˈiɲɑ# | *#mərcˈĩːɲə# {GOLD: >*} | *#mbəɾcˈĩːɲə# {GOLD: >*} | *#mbəɾcˈiɲə# {GOLD: >*} | *#mbəɾcˈiɲə# | *#mbəɾt͡ʃˈiɲə# {GOLD: #məɾcˈiɲə#}
674    | #mˌɑrruːkˈiːnɑm# | *#mˌɑrːuːkˈiːnɑ# | *#mˌɑrːykˈinɑ# | *#mərːəkˈinɑ# | *#mərːəcˈinɑ# | *#mərːəcˈinɑ# | *#mərːəcˈĩːnə# {GOLD: >*} | *#mbərəcˈĩːɾə# {GOLD: >*} | *#mbərəcˈiɾə# {GOLD: >*} | *#mbərəcˈiɾə# | *#mbərət͡ʃˈiɾə# {GOLD: #məɾcˈiɲə#}
675    | #mˈyrrhɑ# | *#mˈirːhɑ# | *#mˈerːhɑ# | *#mˈɛrːhɑ# | *#mˈɛrːhɑ# | *#mˈɛrːhɑ# | *#mˈɛːrːhə# {GOLD: >*} | *#mˈɛːrhə# {GOLD: >*} | *#mˈɛrhə# {GOLD: >*} | *#mˈɛrhə# | *#mˈɛrhə# {GOLD: #mˈɛrə#}
676    | #nˈɑppɑ# | *#nˈɑppɑ# | *#nˈɑppɑ# | *#nˈɑppɑ# | *#nˈɑppɑ# | *#nˈɑppɑ# | *#nˈappə# {GOLD: >*} | *#nˈappə# {GOLD: >*} | *#nˈappə# {GOLD: >*} | *#nˈappə# | *#nˈappə# {GOLD: #nˈapə#}
677    | #nˌɑːtˈuːrɑm# | *#nˌɑːtˈuːrɑ# | *#nˌɑtˈyrɑ# | *#ntˈyrɑ# | *#ndˈyrɑ# | *#ndˈyrɑ# | *#ndˈyːrə# {GOLD: >*} | *#ndˈyːɾə# {GOLD: >*} | *#ndˈyɾə# {GOLD: >*} | *#ndˈyɾə# | *#nˈyɾə# {GOLD: #natˈyɾə#}
678    | #mˈeɡulɑm# | *#mˈeɡəlːɑ# | *#mˈɛɡlːɑ# | *#mjˈɛɡlːɑ# | *#mjˈɛɡlːɑ# | *#mjˈɛɡlːɑ# | *#mjˈɛɡlːə# {GOLD: #njˈɛɡulˠ#} | *#mjˈɛɡlˠə# {GOLD: >*} | *#mjˈɛɡlˠə# {GOLD: >*} | *#mjˈɛɡlˠə# | *#mjˈɛɡlˠə# {GOLD: #mjˈɛɡulˠ#}
679    | #nˈinnɑ# | *#nˈinːɑ# | *#nˈenːɑ# | *#nˈɛnːɑ# | *#nˈɛnːɑ# | *#nˈɛnːɑ# | *#nˈɛ̃ːnːə# {GOLD: >*} | *#nˈɛ̃ːnə# {GOLD: >*} | *#nˈɛnə# {GOLD: >*} | *#nˈɛnə# | *#nˈɛnə# {GOLD: #nˈinə#}
680    | #nkˌɑrdˌullˈiːkiɑ# | *#nkˌɑrdˌulˈiːkjɑ# | *#nkˌɑrðˌulˈikjɑ# | *#ənkərðəlˈikjɑ# | *#ənɡərðəlˈicjɑ# | *#ənɡərðəlˈicjɑ# | *#hə̃nɡərðəlˈicɛ# {GOLD: >*} | *#hə̃nɡəɾðəlˈicɛ# {GOLD: >*} | *#hənɡəɾðəlˈicɛ# {GOLD: >*} | *#hənɡəɾðəlˈicɛ# | *#hənɡəɾðəlˈit͡ʃɛ# {GOLD: #ŋɡaɾðulˈicɛ#}
681    | #nodˈunkulum# | *#nodˈunkəlːu# | *#noˈunklːu# | *#nəˈunklːu# | *#nəˈunɡlːu# | *#nəˈunɡlːu# | *#nˈũːnɡlː# {GOLD: >*} | *#nˈũːnɡlˠ# {GOLD: >*} | *#nˈunɡlˠ# {GOLD: >*} | *#nˈunɡlˠ# | *#nˈunɡlˠ# {GOLD: #nˈəɲɟ#}
682    | #nˈoːdum# | *#nˈoːdu# | *#nˈøu# | *#nˈye̯u# | *#nˈye̯u# | *#nˈye̯u# | *#nˈye̯# {GOLD: #nˈyø̯#} | *#nˈye̯# {GOLD: >*} | *#nˈye̯# {GOLD: >*} | *#nˈye̯# | *#nˈye̯# {GOLD: #nˈye̯#}
683    | #nˈoːdulum# | *#nˈoːdəlːu# | *#nˈødlːu# | *#nˈɛdlːu# | *#nˈɛdlːu# | *#nˈɛdlːu# | *#nˈɛdlː# {GOLD: >*} | *#nˈɛdlˠ# {GOLD: >*} | *#nˈɛdlˠ# {GOLD: >*} | *#nˈɛdlˠ# | *#nˈɛdlˠ# {GOLD: #nˈye̯lˠ#}
684    | #nˌominˈɑːnioː# | *#nˌominˈɑːɲoː# | *#nˌomenˈɑɲø# | *#nəmənˈɑɲɛ# | *#nəmənˈɑɲɛ# | *#nəmənˈɑɲɛ# | *#nə̃mə̃nˈãːɲ# {GOLD: >*} | *#nə̃mbə̃ɾˈəːɲ# {GOLD: >*} | *#nəmbəɾˈəɲ# {GOLD: >*} | *#nəmbəɾˈəɲ# | *#nəmbəɾˈəɲ# {GOLD: #nəməɾˈɔj#}
685    | #nˈonnum# | *#nˈonːu# | *#nˈonːu# | *#nˈɔnːu# | *#nˈɔnːu# | *#nˈɔnːu# | *#nˈɔ̃ːnː# {GOLD: >*} | *#nˈɔ̃ːn# {GOLD: >*} | *#nˈɔn# {GOLD: >*} | *#nˈɔn# | *#nˈɔn# {GOLD: #nˈun#}
686    | #nˌotˈɑːnioː# | *#nˌotˈɑːɲoː# | *#nˌotˈɑɲø# | *#ntˈɑɲɛ# | *#ndˈɑɲɛ# | *#ndˈɑɲɛ# | *#ndˈãːɲ# {GOLD: >*} | *#ndˈəːɲ# {GOLD: >*} | *#ndˈəɲ# {GOLD: >*} | *#ndˈəɲ# | *#nˈəɲ# {GOLD: #nɔtˈɔj#}
687    | #nˌowˈɑstrum# | *#nˌoˈɑstru# | *#nˌoˈɑstru# | *#nəˈɑstru# | *#nəˈɑʃtru# | *#nəˈɑʃtru# | *#nˈaːʃtr# {GOLD: >*} | *#nˈaːʃtɾ# {GOLD: >*} | *#nˈaʃtɾ# {GOLD: >*} | *#nˈat͡ʃtɾ# | *#nˈat͡ʃtɾ# {GOLD: #nˈɔʃtəɾ#}
688    | #nˌowˈerkɑm# | *#nˌoˈerkɑ# | *#nˌoˈɛrkɑ# | *#nəjˈɛrkɑ# | *#nəjˈɛrkɑ# | *#nəjˈɛrkɑ# | *#nəjˈɛːrkə# {GOLD: >*} | *#nəjˈɛːɾkə# {GOLD: >*} | *#nəjˈɛɾkə# {GOLD: >*} | *#nəjˈɛɾkə# | *#nəjˈɛɾkə# {GOLD: #ɲˈɛɾkə#}
689    | #nˌumerˈɑːnioː# | *#nˌumerˈɑːɲoː# | *#nˌumɛrˈɑɲø# | *#nəmərˈɑɲɛ# | *#nəmərˈɑɲɛ# | *#nəmərˈɑɲɛ# | *#nə̃mərˈãːɲ# {GOLD: >*} | *#nə̃mbəɾˈəːɲ# {GOLD: >*} | *#nəmbəɾˈəɲ# {GOLD: >*} | *#nəmbəɾˈəɲ# | *#nəmbəɾˈəɲ# {GOLD: #numəɾˈɔj#}
690    | #nˈumerum# | *#nˈuməru# | *#nˈumru# | *#nˈumru# | *#nˈumru# | *#nˈumru# | *#nˈũːmr# {GOLD: >*} | *#nˈũːmɾ# {GOLD: >*} | *#nˈumɾ# {GOLD: >*} | *#nˈumɾ# | *#nˈumɾ# {GOLD: #nˈuməɾ#}
691    | #nˈuptiɑm# | *#nˈuptjɑ# | *#nˈuptjɑ# | *#nˈyptjɑ# | *#nˈyf?1ɑ# | *#nˈyf?1ɑ# | *#nˈyːf?1ə# {GOLD: >*} | *#nˈyːf?1ə# {GOLD: >*} | *#nˈyf?1ə# {GOLD: >*} | *#nˈyf?1ə# | *#nˈyf?1ə# {GOLD: #nˈusɛ#}
692    | ... | ... | ... | *#blˈɑtɑ# | *#blˈɑtɑ# | *#blˈɑtɑ# | *#blˈatə# {GOLD: >*} | *#blˈatə# {GOLD: >*} | *#blˈatə# {GOLD: >*} | *#blˈatə# | *#blˈatə# {GOLD: #blˈatə#}
693    | #ˌofˈellɑm# | *#ˌofˈelɑ# | *#ˌofˈɛlɑ# | *#fjˈɛlɑ# | *#fjˈɛlɑ# | *#fjˈɛlɑ# | *#fjˈɛːlə# {GOLD: >*} | *#fjˈɛːlə# {GOLD: >*} | *#fjˈɛlə# {GOLD: >*} | *#fjˈɛlə# | *#fjˈɛlə# {GOLD: #fˈɛlə#}
694    | #ˌoleˈɑstrum# | *#ˌoʎˈɑstru# | *#ˌoʎˈɑstru# | *#ʎˈɑstru# | *#ʎˈɑʃtru# | *#ʎˈɑʃtru# | *#ʎˈaːʃtr# {GOLD: >*} | *#ʎˈaːʃtɾ# {GOLD: >*} | *#jˈaʃtɾ# {GOLD: >*} | *#jˈat͡ʃtɾ# | *#jˈat͡ʃtɾ# {GOLD: #ulˠˈaʃtəɾ#}
695    | #ˈoleɑstrum# | *#ˈoʎəstru# | *#ˈoʎstru# | *#ˈɛʎstru# | *#ˈɛʎʃtru# | *#ˈɛʎʃtru# | *#hˈɛːʎʃtr# {GOLD: #wˈɔʃtɾ̩#} | *#hˈɛːʎʃtɾ# {GOLD: >*} | *#hˈɛjʃtɾ# {GOLD: >*} | *#hˈɛjt͡ʃtɾ# | *#hˈɛjt͡ʃtɾ# {GOLD: #vˈaʃtəɾ#}
696    | #ˈoleum# | *#ˈoʎu# | *#ˈoʎu# | *#ˈɛʎu# | *#ˈɛʎu# | *#ˈɛʎu# | *#hˈɛːʎ# {GOLD: #wˈɔʎ#} | *#hˈɛːʎ# {GOLD: >*} | *#hˈɛj# {GOLD: >*} | *#hˈɛj# | *#hˈɛj# {GOLD: #vˈaj#}
