etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Standard Albanian | Output {GOLD}
43     | ... | ... | #skʰˈiːnton# | *#skʰˈiːnnon# | *#skʰˈiːnːo# | *#skˈinːo# | *#skˈinːɔ# | *#ʃcˈinːɔ# | *#ʃcˈinːɔ# | *#ʃcˈĩːnː# {GOLD: >*} | *#ʃcˈĩːn# | *#ʃcˈin# | *#t͡ʃcˈin# | *#t͡ʃt͡ʃˈin# {GOLD: #ʃcˈind#}
44     | ... | ... | #stˈamna# | *#stˈɑmnɑ# | *#stˈɑmnɑ# | *#stˈɑmnɑ# | *#stˈɑmnɑ# | *#ʃtˈɑmnɑ# | *#ʃtˈɑmnɑ# | *#ʃtˈãːmnə# {GOLD: #ʃtˈãmbə#} | *#ʃtˈəːmnə# | *#ʃtˈəmnə# | *#t͡ʃtˈəmnə# | *#t͡ʃtˈəmnə# {GOLD: #ʃtˈəmbə#}
45     | ... | ... | #stˈeripʰa# | *#stˈeriːpʰɑ# | *#stˈerəpʰɑ# | *#stˈɛrpɑ# | *#stjˈɛrpɑ# | *#ʃ?1ˈɛrpɑ# | *#ʃ?1ˈɛrpɑ# | *#ʃ?1ˈɛːrpə# {GOLD: >*} | *#ʃ?1ˈɛːɾpə# | *#ʃ?1ˈɛɾpə# | *#t͡ʃ?1ˈɛɾpə# | *#t͡ʃ?1ˈɛɾpə# {GOLD: #ʃtˈɛɾpə#}
46     | ... | ... | ... | ... | #stˈylɑ# | *#stˈølɑ# | *#stˈɛlɑ# | *#ʃtˈɛlɑ# | *#ʃtˈɛlɑ# | *#ʃtˈɛːlə# {GOLD: >*} | *#ʃtˈɛːlə# | *#ʃtˈɛlə# | *#t͡ʃtˈɛlə# | *#t͡ʃtˈɛlə# {GOLD: #ʃtˈylˠə#}
47     | ... | ... | #spˈaron# | *#spˈɑron# | *#spˈɑro# | *#spˈɑro# | *#spˈɑrɔ# | *#ʃpˈɑrɔ# | *#ʃpˈɑrɔ# | *#ʃpˈaːr# {GOLD: >*} | *#ʃpˈaːɾ# | *#ʃpˈaɾ# | *#t͡ʃpˈaɾ# | *#t͡ʃpˈaɾ# {GOLD: #ʃpˈaɾ#}
48     | ... | ... | #spˈarɡanon# | *#spˈɑrɡɑnon# | *#spˈɑrɡəno# | *#spˈɑrɡno# | *#spˈɑrɡnɔ# | *#ʃpˈɑrɡnɔ# | *#ʃpˈɑrɡnɔ# | *#ʃpˈaːrɡn# {GOLD: #ʃpˈaɾɡəɾ̃ə#} | *#ʃpˈaːɾɡn# | *#ʃpˈaɾɡn# | *#t͡ʃpˈaɾɡn# | *#t͡ʃpˈaɾɡn# {GOLD: #ʃpˈaɾɡəɾ#}
49     | ... | ... | #spˈarta# | *#spˈɑrtɑ# | *#spˈɑrtɑ# | *#spˈɑrtɑ# | *#spˈɑrtɑ# | *#ʃpˈɑrtɑ# | *#ʃpˈɑrtɑ# | *#ʃpˈaːrtə# {GOLD: >*} | *#ʃpˈaːɾtə# | *#ʃpˈaɾtə# | *#t͡ʃpˈaɾtə# | *#t͡ʃpˈaɾtə# {GOLD: #ʃpˈaɾtə#}
50     | ... | ... | #spˈɛːlaia# | *#spˈɛːlɑiːɑ# | *#spˈɛːlːəjɑ# | *#spˈɛlːjɑ# | *#spˈilːjɑ# | *#ʃpˈilːjɑ# | *#ʃpˈilːjɑ# | *#ʃpˈiːlːɛ# {GOLD: >*} | *#ʃpˈiːlˠɛ# | *#ʃpˈilˠɛ# | *#t͡ʃpˈilˠɛ# | *#t͡ʃpˈilˠɛ# {GOLD: #ʃpˈɛlˠə#}
51     | ... | ... | #ɦˌaspellˈon# | *#ˌɑspellˈon# | *#ˌɑspelˈon# | *#ˌɑspɛlˈon# | *#spəlˈuo̯n# | *#ʃpəlˈuo̯n# | *#ʃpəlˈuo̯n# | *#ʃpəlˈuo̯n# {GOLD: >*} | *#ʃpəlˈua̯n# | *#ʃpəlˈua̯n# | *#t͡ʃpəlˈua̯n# | *#t͡ʃpəlˈua̯n# {GOLD: #ʃpˈɛl#}
52     | ... | ... | #spˈonɡia# | *#spˈonɡiːɑ# | *#spˈoɲjɑ# | *#spˈoɲjɑ# | *#spˈɛɲjɑ# | *#ʃpˈɛɲjɑ# | *#ʃpˈɛɲjɑ# | *#ʃpˈɛ̃ːɲɛ# {GOLD: >*} | *#ʃpˈɛ̃ːɲɛ# | *#ʃpˈɛɲɛ# | *#t͡ʃpˈɛɲɛ# | *#t͡ʃpˈɛɲɛ# {GOLD: #ʃpˈuzə#}
53     | ... | ... | #tʰˈipʰaːn# | *#tʰˈiːpʰɑː̹n# | *#tʰˈiːpʰɑː̹# | *#tˈipɤ̹# | *#tˈipʌ̹# | *#tˈipʌ̹# | *#tˈipʌ̹# | *#tˈip# {GOLD: >*} | *#tˈip# | *#tˈip# | *#tˈip# | *#tˈip# {GOLD: #tˈɛpə#}
54     | ... | ... | #tˈomaːron# | *#tˈomɑː̹ron# | *#tˈoməro# | *#tˈomro# | *#tˈɔmrɔ# | *#tˈɔmrɔ# | *#tˈɔmrɔ# | *#tˈɔ̃ːmr# {GOLD: >*} | *#tˈɔ̃ːmɾ# | *#tˈɔmɾ# | *#tˈɔmɾ# | *#tˈɔmɾ# {GOLD: #tɔmˈɔr#}
55     | ... | ... | ... | ... | ... | ... | ... | #tˈuvla# | *#tˈuvla# | *#tˈuːvlə# {GOLD: >*} | *#tˈuːvlə# | *#tˈuvlə# | *#tˈuvlə# | *#tˈuvlə# {GOLD: #tˈuvlə#}
56     | ... | ... | ... | ... | #tˌɛtrˈɑnɡurɔn# | *#tˌɛtrˈɑnɡuron# | *#tətrˈɑnɡurɔn# | *#tətrˈɑnɡurɔn# | *#tətrˈɑnɡurɔn# | *#tətrˈãːnɡurɔ̃# {GOLD: >*} | *#tətɾˈəːnɡuɾɔ̃# | *#tətɾˈənɡuɾə# | *#tətɾˈənɡuɾə# | *#tətɾˈənɡuɾə# {GOLD: #tɾˈaŋɡuɾ#}
57     | ... | ... | #trˌɑntˈɑfyllɔn# | *#trˌɑntˈɑfyːllɔn# | *#trˌɑntˈɑfəlɔ# | *#trˌɑntˈɑflo# | *#trəntˈɑflɔ# | *#trəndˈɑflɔ# | *#trəndˈɑflɔ# | *#trə̃ndˈaːfl# {GOLD: >*} | *#tɾə̃ndˈaːfl# | *#tɾəndˈafl# | *#tɾəndˈafl# | *#tɾənˈafl# {GOLD: #tɾəndafˈil#}
58     | ... | ... | #tʰˈumbraː# | *#tʰˈumbrɑː̹# | *#tʰˈumbrɑː̹# | *#tˈumbrɤ̹# | *#tˈumbrʌ̹# | *#tˈumbrʌ̹# | *#tˈumbrʌ̹# | *#tˈũːmbr# {GOLD: >*} | *#tˈũːmbɾ# | *#tˈumbɾ# | *#tˈumbɾ# | *#tˈumbɾ# {GOLD: #tɾˈumə#}
59     | ... | ... | #dˈepon# | *#dˈepon# | *#dˈepo# | *#dˈɛpo# | *#djˈɛpɔ# | *#?1̬ˈɛpɔ# | *#?1̬ˈɛpɔ# | *#?1̬ˈɛp# {GOLD: >*} | *#?1̬ˈɛp# | *#?1̬ˈɛp# | *#?1̬ˈɛp# | *#?1̬ˈɛp# {GOLD: #djˈɛp#}
60     | ... | ... | #dˌurrhˈacum# | *#dˌurrhˈɑcum# | *#dˌurːhˈɑcu# | *#dˌurːhˈɑcu# | *#dərːhˈɑcu# | *#dərːhˈɑcu# | *#dərːhˈɑcu# | *#dərːhˈac# {GOLD: >*} | *#dərhˈac# | *#dərhˈac# | *#dərhˈac# | *#dərhˈat͡ʃ# {GOLD: #dˈurəs#}
61     | ... | ... | #drˈaɡmaː# | *#drˈɑɡmɑː̹# | *#drˈɑɡmɑː̹# | *#drˈɑɡmɤ̹# | *#drˈɑɡmʌ̹# | *#drˈɑɡmʌ̹# | *#drˈɑɡmʌ̹# | *#drˈaɡmb# {GOLD: #dɾˈaɡmə#} | *#dɾˈaɡmb# | *#dɾˈaɡmb# | *#dɾˈaɡmb# | *#dɾˈaɡmb# {GOLD: #dɾˈaɡəm#}
62     | ... | ... | #drˈapanon# | *#drˈɑpɑnon# | *#drˈɑpəno# | *#drˈɑpno# | *#drˈɑpnɔ# | *#drˈɑpnɔ# | *#drˈɑpnɔ# | *#drˈapn# {GOLD: #dɾˈapə̃ɾ̃ə#} | *#dɾˈapn# | *#dɾˈapn# | *#dɾˈapn# | *#dɾˈapn# {GOLD: #dɾˈapəɾ#}
63     | ... | ... | #drˈiwaston# | *#drˈiːwɑston# | *#drˈiːəsto# | *#drˈisto# | *#drˈistɔ# | *#drˈiʃtɔ# | *#drˈiʃtɔ# | *#drˈiːʃt# {GOLD: >*} | *#dɾˈiːʃt# | *#dɾˈiʃt# | *#dɾˈit͡ʃt# | *#dɾˈit͡ʃt# {GOLD: #dɾˈiʃt#}
64     | ... | ... | ... | ... | ... | ... | ... | #dɛrnˈɔpɔli# | *#dɛrnˈɔpɔli# | *#dɛrnˈɔpɔl# {GOLD: >*} | *#dɛrˈɔpɔl# | *#dərˈɔpɔl# | *#dərˈɔpɔl# | *#dərˈɔpɔl# {GOLD: #dɾˈɔpulˠ#}
65     | ... | ... | ... | ... | ... | ... | ... | #t͡sˌarˈuxja# | *#t͡sˌarˈuxja# | *#t͡sˌarˈuxɛ# {GOLD: >*} | *#t͡sˌaɾˈuhɛ# | *#t͡səɾˈuhɛ# | *#t͡səɾˈuhɛ# | *#t͡səɾˈuhɛ# {GOLD: #t͡saɾˈucɛ#}
66     | ... | ... | ... | ... | ... | ... | ... | #sˌimmaxˈɔːrɔn# | *#sˌimmaxˈɔːrɔn# | *#sˌĩmmaxˈɔːrɔ̃# {GOLD: >*} | *#sˌĩmmbahˈɔːɾɔ̃# | *#sˌimmbəhˈɔɾə# | *#simmbəhˈɔɾə# | *#simmbəhˈɔɾə# {GOLD: #simahˈua̯ɾ#}
67     | ... | ... | ... | ... | ... | ... | ... | #sxˈima# | *#sxˈima# | *#sxˈĩːmə# {GOLD: >*} | *#shˈĩːmbə# | *#shˈimbə# | *#shˈimbə# | *#shˈimbə# {GOLD: #scˈimə#}
