etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Output {GOLD}
10     | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌarsˈɛnɡə# | *#ˌaɾsˈɛŋɡə# {GOLD: >*} | *#ˌaɾsˈɛŋɡə# | *#ˌaɾsˈɛŋɡə# | *#aɾsˈɛŋɡə# {GOLD: #əɾsˈiŋɡə#}
11     | ... | ... | ... | *#ˌɑrdexˈɑnniː# | *#ˌɑrdɛxˈɑnːi# | *#ˌɑrdɛxˈɑnːi# | *#ˌaːrðiˈenːɪ# | *#ˌaɾʎˈẽnːɪ# | *#ˌaɾʎˈɛ̃nː# | *#ˌaɾʎˈɛ̃nː# {GOLD: >*} | *#ˌaɾʎˈɛ̃n# | *#ˌaɾjˈɛn# | *#aɾjˈɛn# {GOLD: #ɛɾzˈɛn#}
12     | ... | ... | ... | ... | ... | *#ˈɑɡrion# | *#ˈeɡrɪon# | *#ˈeɡɾɪɔ̃n# | *#ˈɛɡɾə# | *#ˈɛɡɾ̩# {GOLD: >*} | *#ˈɛɡɾ̩# | *#ˈɛɡɾ̩# | *#ˈɛɡəɾ# {GOLD: #ˈɛɡəɾ#}
13     | ... | ... | ... | *#ˌɒːˈerɑ# | *#ˌɒˈɛrɑ# | *#ˌoˈɛrɑ# | *#ˌoːˈɛra# | *#ˌɔːˈɛɾa# | *#ˈɛːɾə# | *#ˈɛːɾə# {GOLD: >*} | *#ˈɛːɾə# | *#ˈɛɾə# | *#ˈɛɾə# {GOLD: #ˈɛɾə#}
14     | ... | ... | ... | *#ˈɑrɡellon# | *#ˈɑrɡɛllɔ# | *#ˈɑrɡɛlːo# | *#ˈerɡɪlːo# | *#ˈeɾɟɪlːɔ# | *#ˈɛːɾɟəlː# | *#ˈɛːɾɟl̩ː# {GOLD: >*} | *#ˈɛːɾɟl̩ː# | *#ˈɛɾɟl̩# | *#ˈɛɾɟəl# {GOLD: #ɾaɡˈal#}
15     | ... | ... | ... | *#ˈɑrɡɑllon# | *#ˈɑrɡɑllɔ# | *#ˈɑrɡɑlːo# | *#ˈarɡalːo# | *#ˈaɾɡɐlːɔ# | *#ˈaːɾɡɐlː# | *#ˈaːɾlː# {GOLD: >*} | *#ˈaːɾlː# | *#ˈaɾl# | *#ˈaɾl# {GOLD: #ɾaɡˈal#}
16     | ... | ... | ... | ... | ... | *#ˈɛxon# | *#ˈɛxon# | *#ˈɛːxɔ̃n# | *#jˈɛx# | *#jˈɛx# {GOLD: >*} | *#jˈɛh# | *#jˈɛh# | *#jˈɛh# {GOLD: #jˈɛh#}
17     | ... | ... | ... | *#ˈɛːrəmon# | *#ˈɛːrəmɔ# | *#ˈɛrəmo# | *#ˈɛrəmo# | *#ˈɛːɾmɔ# | *#jˈɛɾm# | *#jˈɛɾm# {GOLD: #jˈɛɾəm#} | *#jˈɛɾm# | *#jˈɛɾm# | *#jˈɛɾm# {GOLD: #jˈɛɾm#}
18     | ... | ... | ... | ... | ... | *#jˌod͡zˈɛfo# | *#jˌod͡zˈɛfo# | *#jˌɔzˈɛfɔ# | *#jˌɔzˈɛːf# | *#jˌɔzˈɛːf# {GOLD: >*} | *#jˌɔzˈɛːf# | *#jˌɔzˈɛf# | *#jɔzˈɛf# {GOLD: #jɔzˈɛf#}
19     | ... | ... | ... | ... | ... | *#jˌod͡zˈifo# | *#jˌod͡zˈifo# | *#jˌɔzˈifɔ# | *#jˌɔzˈiːf# | *#jˌɔzˈiːf# {GOLD: >*} | *#jˌɔzˈiːf# | *#jˌɔzˈif# | *#jɔzˈif# {GOLD: #jɔzˈif#}
20     | ... | ... | ... | *#ˈejsɑmnon# | *#ˈɛjsɑmnɔ# | *#ˈɛjsɑmno# | *#ˈijsamno# | *#ˈiʃɐmnɔ# | *#ˈiːʃɐm# | *#ˈiːʃm̩# {GOLD: >*} | *#ˈiːʃm̩# | *#ˈiʃm̩# | *#ˈiʃəm# {GOLD: #ˈiʃəm#}
21     | ... | ... | ... | ... | ... | *#ˈokron# | *#ˈokron# | *#ˈɔːkɾɔ̃n# | *#wˈɔkɾ# | *#wˈɔkɾ̩# {GOLD: >*} | *#vˈakɾ̩# | *#vˈakɾ̩# | *#vˈakəɾ# {GOLD: #ˈɔkəɾ#}
22     | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌalˠɔɡjˈɛr# | *#kˌalˠɔɡjˈɛɾ# {GOLD: >*} | *#kˌalˠɔɡjˈɛɾ# | *#kˌalˠɔɟˈɛɾ# | *#kalˠɔɟˈɛɾ# {GOLD: #kalˠɔɟˈɛɾ#}
23     | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌatˈuo̯# | *#kˌatˈuo̯# {GOLD: >*} | *#kˌatˈua̯# | *#kˌatˈua̯# | *#katˈua̯# {GOLD: #katˈua̯#}
24     | ... | ... | ... | *#kˌɑstˈɑ# | *#kˈɑstɑ# | *#kˈɑstɑ# | *#kˈasta# | *#kˈaʃta# | *#kˈaːʃtə# | *#kˈaːʃtə# {GOLD: #kˈaʃtə#} | *#kˈaːʃtə# | *#kˈaʃtə# | *#kˈaʃtə# {GOLD: #kˈaʃtə#}
25     | ... | ... | ... | *#kˌɑpnˈon# | *#kˈɑpnɒn# | *#kˈɑpnon# | *#kˈapnon# | *#kˈapnɔ̃n# | *#kˈapn# | *#kˈamː# {GOLD: >*} | *#kˈam# | *#kˈam# | *#kˈam# {GOLD: #kˈam#}
26     | ... | ... | ... | *#kˈɑntɑron# | *#kˈɑntɑrɔ# | *#kˈɑntɑro# | *#kˈantaro# | *#kˈãntɐɾɔ# | *#kˈãndɐɾ# | *#kˈãndɾ̩# {GOLD: #kˈãntəɾə#} | *#kˈə̃ndɾ̩# | *#kˈəndɾ̩# | *#kˈəndəɾ# {GOLD: #kˈəndəɾ#}
27     | ... | ... | ... | ... | ... | *#kˌɑlˈoɡɛro# | *#kˌalˈoɡɪro# | *#kəlˈɔɟɪɾɔ# | *#kəlˠˈɔɟəɾ# | *#kəlˠˈɔɟɾ̩# {GOLD: >*} | *#kəlˠˈɔɟɾ̩# | *#kəlˠˈɔɟɾ̩# | *#klˠˈɔɟəɾ# {GOLD: #klˠˈɔɟəɾ#}
28     | ... | ... | ... | *#kəkkˈumbəlon# | *#kəkkˈʊmbəlɔ# | *#kəkkˈumbəlo# | *#kəkkˈumbəlo# | *#kkˈũmbəlɔ# | *#kːˈũmbəlˠ# | *#kːˈũmbulˠ# {GOLD: >*} | *#kːˈũmbulˠ# | *#kˈumbulˠ# | *#kˈumbulˠ# {GOLD: #kˈumbulˠ#}
29     | ... | ... | ... | *#ɡˌɑwsˈɒːfon# | *#ɡˌɑwsˈɒːfɔ# | *#ɡˌɑwsˈofo# | *#ɡˌaːsˈofo# | *#ɡˌaːʃˈɔfɔ# | *#ɡˌaːʃˈɔːf# | *#ɡˌaːʃˈɔːf# {GOLD: >*} | *#ɡˌaːʃˈɔːf# | *#ɡˌaʃˈɔf# | *#ɡaʃˈɔf# {GOLD: #ɡəzˈɔf#}
30     | ... | ... | ... | *#kərsɔːtˈon# | *#kərsˈɔːtɔn# | *#kərsˈøton# | *#kərsˈøton# | *#kəɾʃˈœtɔ̃n# | *#kəɾʃˈɛt# | *#kɾ̩ʃˈɛt# {GOLD: #kɾ̩ʃˈœt#} | *#ɡɾ̩ʃˈɛt# | *#ɡɾ̩ʃˈɛt# | *#ɡəɾʃˈɛt# {GOLD: #ɡəɾʃˈɛt#}
31     | ... | ... | ... | ... | ... | ... | ... | ... | *#ɡrˌafˈɛj# | *#ɡɾ̩fˈɛj# {GOLD: >*} | *#ɡɾ̩fˈɛj# | *#ɡɾ̩fˈɛj# | *#ɡəɾfˈɛj# {GOLD: #ɡəɾfˈɛj#}
32     | ... | ... | ... | *#ɡrˈɑmmɑ# | *#ɡrˈɑmmɑ# | *#ɡrˈɑmmɑ# | *#ɡrˈamma# | *#ɡɾˈãmma# | *#ɡɾˈãmːə# | *#ɡɾˈamːə# {GOLD: >*} | *#ɡɾˈamə# | *#ɡɾˈamə# | *#ɡɾˈamə# {GOLD: #ɡˈəɾmə#}
33     | ... | ... | ... | *#ɡˌɔːlˈoːn# | *#ɡˈɔːloːn# | *#ɡˈolon# | *#ɡˈolon# | *#ɡˈɔlɔ̃n# | *#ɡˈɔːlˠ# | *#ɡˈɔːlˠ# {GOLD: >*} | *#ɡˈɔːlˠ# | *#ɡˈɔlˠ# | *#ɡˈɔlˠ# {GOLD: #ɡˈɔlˠ#}
34     | ... | ... | ... | *#ˌɔːlˈenɑ# | *#ˌɔlˈɛnɑ# | *#ˌolˈɛnɑ# | *#ɔːʷlˈana# | *#ʊlˈãɾ̃a# | *#ʊlˠˈãɾ̃ə# | *#lˠˈãɾ̃ə# {GOLD: #lˠˈãɾ̃ə#} | *#lˠˈə̃ɾ̃ə# | *#lˠˈəɾə# | *#lˠˈəɾə# {GOLD: #lˠˈəɾə#}
35     | ... | ... | ... | *#kˈɑnniːn# | *#kˈɑnːi# | *#kˈɑnːi# | *#cˈenːɪ# | *#cˈẽnːɪ# | *#cˈɛ̃nː# | *#cˈɛ̃nː# {GOLD: #cˈɛ̃ː#} | *#cˈɛ̃n# | *#cˈɛn# | *#cˈɛn# {GOLD: #cˈə#}
36     | ... | ... | ... | *#kˌerɑsˈiːɑ# | *#kˌɛrɑsˈiɑ# | *#kˌɛrɑsˈijɑ# | *#kˌɛrasˈija# | *#cˌɛɾəʃˈija# | *#cˌɛɾəʃˈiː# | *#cˌɛɾəʃˈiː# {GOLD: >*} | *#cˌɛɾʃˈiː# | *#cˌɛɾʃˈi# | *#cɛɾʃˈi# {GOLD: #cɛɾʃˈi#}
37     | ... | ... | ... | *#kˌerɑsˈejɑ# | *#kˌɛrɑsˈɛjɑ# | *#kˌɛrɑsˈɛjɑ# | *#kˌɛrasˈia# | *#cˌɛɾəʃˈia# | *#cˌɛɾəʃˈiː# | *#cˌɛɾəʃˈiː# {GOLD: >*} | *#cˌɛɾʃˈiː# | *#cˌɛɾʃˈi# | *#cɛɾʃˈi# {GOLD: #cɛɾʃˈi#}
38     | ... | ... | ... | *#tˈermon# | *#tˈɛrmɔ# | *#tˈɛrmo# | *#tˈɛrmo# | *#tˈɛɾmɔ# | *#tˈɛːɾm# | *#tˈɛːɾm# {GOLD: >*} | *#tˈɛːɾm# | *#tˈɛɾm# | *#tˈɛɾm# {GOLD: #cˈɛɾm#}
39     | ... | ... | ... | ... | ... | *#stˈɛfɑnon# | *#stˈɛfɑ̃ɾ̃on# | *#ʃtˈɛfɐɾ̃ɔ̃n# | *#ʃtˈɛːfɐɾ̃# | *#ʃtˈɛːfəɾ̃# {GOLD: >*} | *#ʃtˈɛːfəɾ̃# | *#ʃtˈɛfəɾ# | *#ʃtˈɛfəɾ# {GOLD: #cˈɛfəɾ#}
40     | ... | ... | ... | ... | ... | *#kˈɛfɑlon# | *#kˈɛfalon# | *#cˈɛfɐlɔ̃n# | *#cˈɛːfɐlˠ# | *#cˈɛːfulˠ# {GOLD: >*} | *#cˈɛːfulˠ# | *#cˈɛfulˠ# | *#cˈɛfulˠ# {GOLD: #cˈɛfulˠ#}
41     | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌiːrˈiː# | *#kˌiːɾˈiː# {GOLD: >*} | *#kˌiːɾˈiː# | *#kˌiɾˈi# | *#ciɾˈi# {GOLD: #ciɾˈi#}
42     | ... | ... | ... | ... | ... | *#kˈylon# | *#kˈylon# | *#cˈylɔ̃n# | *#cˈyːlˠ# | *#cˈyːlˠ# {GOLD: >*} | *#cˈyːlˠ# | *#cˈylˠ# | *#cˈylˠ# {GOLD: #cˈulˠ#}
43     | ... | ... | ... | *#sˈɑrkon# | *#sˈɑrkɔ# | *#sˈɑrko# | *#sˈarko# | *#ʃˈaɾkɔ# | *#ʃˈaːɾk# | *#ʃˈaːɾk# {GOLD: >*} | *#ʃˈaːɾk# | *#ʃˈaɾk# | *#ʃˈaɾk# {GOLD: #ʃˈaɾk#}
44     | ... | ... | ... | *#sərˈettjoː# | *#sərˈɛttjo# | *#sərˈɛtt͡ʃjo# | *#sərˈitt͡ʃo# | *#ʃəɾˈɛsɔ# | *#ʃəɾˈɛːs# | *#ʃəɾˈɛːs# {GOLD: >*} | *#ʃəɾˈɛːs# | *#ʃəɾˈɛs# | *#ʃəɾˈɛs# {GOLD: #ʃəɾˈis#}
45     | ... | ... | ... | *#sˈelpon# | *#sˈɛlpɔ# | *#sˈɛlpo# | *#sˈɛlpo# | *#ʃˈɛlpɔ# | *#ʃˈɛːlp# | *#ʃˈɛːlp# {GOLD: >*} | *#ʃˈɛːlp# | *#ʃˈɛlp# | *#ʃˈɛlp# {GOLD: #ʃˈɛɾp#}
46     | ... | ... | ... | *#skˈɑlmɑn# | *#skˈɑlmɑ# | *#skˈɑlmɑ# | *#skˈalma# | *#ʃkˈalma# | *#ʃkˈaːlˠmə# | *#ʃkˈaːlˠmə# {GOLD: >*} | *#ʃkˈaːlˠmə# | *#ʃkˈalˠmə# | *#ʃkˈalˠmə# {GOLD: #ʃkˈalˠmə#}
47     | ... | ... | ... | *#skˈɑrəpɑ# | *#skˈɑrəpɑ# | *#skˈɑrəpɑ# | *#skˈarəpa# | *#ʃkˈaɾəpa# | *#ʃkˈaːɾpə# | *#ʃkˈaːɾpə# {GOLD: >*} | *#ʃkˈaːɾpə# | *#ʃkˈaɾpə# | *#ʃkˈaɾpə# {GOLD: #ʃkˈaɾpə#}
48     | ... | ... | ... | ... | ... | *#skˈɑmnon# | *#skˈamnon# | *#ʃkˈãmnɔ̃n# | *#ʃkˈãm# | *#ʃkˈam# {GOLD: >*} | *#ʃkˈam# | *#ʃkˈam# | *#ʃkˈam# {GOLD: #ʃkˈam#}
49     | ... | ... | ... | *#skˌɑmpˈiːnon# | *#skˌɑmpˈinɔ# | *#skˌɑmpˈino# | *#skˌampˈino# | *#ʃkˌãmpˈĩnɔ# | *#ʃkˌãmbˈĩːn# | *#ʃkˌãmbˈĩːn# {GOLD: #ʃkm̩bˈĩː#} | *#ʃkˌə̃mbˈĩː# | *#ʃkəmbˈi# | *#ʃkəmbˈi# {GOLD: #ʃkəmbˈi#}
50     | ... | ... | ... | *#skˈɒːpon# | *#skˈɒːpɔ# | *#skˈopo# | *#skˈopo# | *#ʃkˈɔpɔ# | *#ʃkˈɔp# | *#ʃkˈɔp# {GOLD: >*} | *#ʃkˈɔp# | *#ʃkˈɔp# | *#ʃkˈɔp# {GOLD: #ʃkˈɔp#}
51     | ... | ... | ... | ... | ... | *#skˈemni# | *#scˈemnɪ# | *#ʃcˈẽmnɪ# | *#ʃcˈɛ̃m# | *#ʃcˈɛ̃m# {GOLD: >*} | *#ʃcˈɛ̃m# | *#ʃcˈɛm# | *#ʃcˈɛm# {GOLD: #ʃcˈɛm#}
52     | ... | ... | ... | *#skˈiːnon# | *#skˈinɔ# | *#skˈino# | *#scˈino# | *#ʃcˈĩnɔ# | *#ʃcˈĩː# | *#ʃcˈĩː# {GOLD: >*} | *#ʃcˈĩː# | *#ʃcˈi# | *#ʃcˈi# {GOLD: #ʃcˈind#}
53     | ... | ... | ... | *#stˈɑmnon# | *#stˈɑmnɔ# | *#stˈɑmno# | *#stˈamno# | *#ʃtˈãmnɔ# | *#ʃtˈãm# | *#ʃtˈãm# {GOLD: #ʃtˈãmbə#} | *#ʃtˈə̃m# | *#ʃtˈəm# | *#ʃtˈəm# {GOLD: #ʃtˈəmbə#}
54     | ... | ... | ... | *#stˈerəpɑ# | *#stˈɛrəpɑ# | *#stˈɛrəpɑ# | *#stˈɛrəpa# | *#ʃtˈɛɾəpa# | *#ʃtˈɛːɾpə# | *#ʃtˈɛːɾpə# {GOLD: >*} | *#ʃtˈɛːɾpə# | *#ʃtˈɛɾpə# | *#ʃtˈɛɾpə# {GOLD: #ʃtˈɛɾpə#}
55     | ... | ... | ... | ... | ... | *#stˈylɑ# | *#stˈyla# | *#ʃtˈyla# | *#ʃtˈyːlˠə# | *#ʃtˈyːlˠə# {GOLD: >*} | *#ʃtˈyːlˠə# | *#ʃtˈylˠə# | *#ʃtˈylˠə# {GOLD: #ʃtˈylˠə#}
56     | ... | ... | ... | *#spˈɑron# | *#spˈɑrɔ# | *#spˈɑro# | *#spˈaro# | *#ʃpˈaɾɔ# | *#ʃpˈaːɾ# | *#ʃpˈaːɾ# {GOLD: >*} | *#ʃpˈaːɾ# | *#ʃpˈaɾ# | *#ʃpˈaɾ# {GOLD: #ʃpˈaɾ#}
57     | ... | ... | ... | *#spˈɑrɡɑnon# | *#spˈɑrɡɑnɔ# | *#spˈɑrɡɑno# | *#spˈarɡɑ̃ɾ̃o# | *#ʃpˈaɾɡɐɾ̃ɔ# | *#ʃpˈaːɾɡɐɾ̃# | *#ʃpˈaːɾɡəɾ̃# {GOLD: #ʃpˈaɾɡəɾ̃ə#} | *#ʃpˈaːɾɡəɾ̃# | *#ʃpˈaɾɡəɾ# | *#ʃpˈaɾɡəɾ# {GOLD: #ʃpˈaɾɡəɾ#}
58     | ... | ... | ... | *#spˈɑrtɑ# | *#spˈɑrtɑ# | *#spˈɑrtɑ# | *#spˈarta# | *#ʃpˈaɾta# | *#ʃpˈaːɾtə# | *#ʃpˈaːɾtə# {GOLD: >*} | *#ʃpˈaːɾtə# | *#ʃpˈaɾtə# | *#ʃpˈaɾtə# {GOLD: #ʃpˈaɾtə#}
59     | ... | ... | ... | *#spˈɛːlɑjɑ# | *#spˈɛːlɑjɑ# | *#spˈɛlɑjɑ# | *#spˈɛlaja# | *#ʃpˈɛlɐja# | *#ʃpˈɛːlˠə# | *#ʃpˈɛːlˠə# {GOLD: >*} | *#ʃpˈɛːlˠə# | *#ʃpˈɛlˠə# | *#ʃpˈɛlˠə# {GOLD: #ʃpˈɛlˠə#}
60     | ... | ... | ... | *#ˌɑspellˈon# | *#ˌɑspˈɛllɔn# | *#ˌɑspˈɛlːon# | *#spˈɛlːon# | *#ʃpˈɛlːɔ̃n# | *#ʃpˈɛːlː# | *#ʃpˈɛːlː# {GOLD: >*} | *#ʃpˈɛːlː# | *#ʃpˈɛl# | *#ʃpˈɛl# {GOLD: #ʃpˈɛl#}
61     | ... | ... | ... | *#spˈond͡ʒɑ# | *#spˈʊnd͡ʒɑ# | *#spˈud͡ʒɑ# | *#spˈud͡ʒa# | *#ʃpˈuza# | *#ʃpˈuːzə# | *#ʃpˈuːzə# {GOLD: >*} | *#ʃpˈuːzə# | *#ʃpˈuzə# | *#ʃpˈuzə# {GOLD: #ʃpˈuzə#}
62     | ... | ... | ... | *#tˈepɑn# | *#tˈɛpɑ# | *#tˈɛpɑ# | *#tˈɛpa# | *#tˈɛːpa# | *#tˈie̯pə# | *#tjˈɛpə# {GOLD: >*} | *#tjˈɛpə# | *#tjˈɛpə# | *#tjˈɛpə# {GOLD: #tˈɛpə#}
63     | ... | ... | ... | *#tˌomˈɒːrron# | *#tˌʊmˈɒːrrɔ# | *#tˌumˈorro# | *#tˌumˈorro# | *#tˌũmˈɔɾɾɔ# | *#tˌũmˈɔːrː# | *#tˌũmˈɔːr# {GOLD: >*} | *#tˌũmˈɔːr# | *#tˌumˈɔr# | *#tumˈɔr# {GOLD: #tɔmˈɔr#}
64     | ... | ... | ... | ... | ... | ... | ... | ... | *#tˈuːvlə# | *#tˈuːvulˠ# {GOLD: >*} | *#tˈuːvulˠ# | *#tˈuvulˠ# | *#tˈuvulˠ# {GOLD: #tˈuvlə#}
65     | ... | ... | ... | ... | ... | *#tˌɛtrˈɑnɡuron# | *#tˌɛtrˈanɡuron# | *#ttɾˈãnɡuɾɔ̃n# | *#tːɾˈãnɡuɾ# | *#tːɾˈaŋɡuɾ# {GOLD: >*} | *#tːɾˈaŋɡuɾ# | *#tɾˈaŋɡuɾ# | *#tɾˈaŋɡuɾ# {GOLD: #tɾˈaŋɡulˠ#}
66     | ... | ... | ... | *#trˌɑntˌɑfˈyːllɔn# | *#trˌɑntˌɑfˈillɔ# | *#trˌɑntˌɑfˈilːo# | *#trˌantˌafˈilːo# | *#tɾə̃ntˌafˈilːɔ# | *#tɾə̃ndˌafˈiːlː# | *#tɾə̃ndˌafˈiːlː# {GOLD: >*} | *#tɾə̃ndˌafˈiːlː# | *#tɾəndˌafˈil# | *#tɾəndafˈil# {GOLD: #tɾəndafˈil#}
67     | ... | ... | ... | *#tˈumbrɑ# | *#tˈʊmbrɑ# | *#tˈumbrɑ# | *#tˈumbra# | *#tˈũmbɾa# | *#tˈũmbɾə# | *#tˈũmbɾ̩# {GOLD: >*} | *#tˈũmbɾ̩# | *#tˈumbɾ̩# | *#tˈumbəɾ# {GOLD: #tɾˈumə#}
68     | ... | ... | ... | *#dˈepon# | *#dˈɛpɔ# | *#dˈɛpo# | *#dˈɛpo# | *#dˈɛːpɔ# | *#dˈie̯p# | *#djˈɛp# {GOLD: >*} | *#djˈɛp# | *#djˈɛp# | *#djˈɛp# {GOLD: #djˈɛp#}
69     | ... | ... | ... | *#dˌurrˈɑt͡ʃum# | *#dˈʊrrɑt͡ʃʊ# | *#dˈurrɑt͡ʃu# | *#dˈurrat͡ʃu# | *#dˈuɾɾɐsu# | *#dˈuːrːɐs# | *#dˈuːrəs# {GOLD: >*} | *#dˈuːrəs# | *#dˈurəs# | *#dˈurəs# {GOLD: #dˈurəs#}
70     | ... | ... | ... | *#drˈɑpɑnon# | *#drˈɑpɑnɔ# | *#drˈɑpɑno# | *#drˈapɑ̃ɾ̃o# | *#dɾˈapɐɾ̃ɔ# | *#dɾˈapɐɾ̃# | *#dɾˈapəɾ̃# {GOLD: #dɾˈapə̃ɾ̃ə#} | *#dɾˈapəɾ̃# | *#dɾˈapəɾ# | *#dɾˈapəɾ# {GOLD: #dɾˈapəɾ#}
71     | ... | ... | ... | *#drˈɑniːn# | *#drˈɑni# | *#drˈɑni# | *#drˈenɪ# | *#dɾˈẽɾ̃ɪ# | *#dɾˈɛ̃ː# | *#dɾˈɛ̃ː# {GOLD: #dɾˈɛ̃ː#} | *#dɾˈɛ̃ː# | *#dɾˈɛ# | *#dɾˈɛ# {GOLD: #dɾˈɛ#}
72     | ... | ... | ... | *#drˌiːwˈɑston# | *#drˌiwˈɑstɔ# | *#drˈiwɑsto# | *#drˈiwasto# | *#dɾˈiːʃtɔ# | *#dɾˈiːʃt# | *#dɾˈiːʃt# {GOLD: >*} | *#dɾˈiːʃt# | *#dɾˈiʃt# | *#dɾˈiʃt# {GOLD: #dɾˈiʃt#}
73     | ... | ... | ... | ... | ... | ... | ... | ... | *#t͡sˌarˈuxɛ# | *#t͡sˌaɾˈuxɛ# {GOLD: >*} | *#t͡sˌaɾˈuhɛ# | *#t͡sˌaɾˈuhɛ# | *#t͡saɾˈuhɛ# {GOLD: #t͡saɾˈucɛ#}
74     | ... | ... | ... | ... | ... | ... | ... | ... | *#sˌimːaxˈuo̯r# | *#sˌimːaxˈuo̯ɾ# {GOLD: >*} | *#sˌimahˈua̯ɾ# | *#sˌimahˈua̯ɾ# | *#simahˈua̯ɾ# {GOLD: #simahˈua̯ɾ#}
75     | ... | ... | ... | ... | ... | ... | ... | ... | *#skˈimə# | *#skˈimə# {GOLD: >*} | *#skˈimə# | *#skˈimə# | *#scˈimə# {GOLD: #scˈimə#}
76     | ... | ... | ... | *#ˌɑjd͡ʒɑlˈon# | *#ˌɑjd͡ʒˈɑlɔn# | *#ˌɑjd͡ʒˈɑlon# | *#d͡ʒˈalon# | *#zˈalɔ̃n# | *#zˈaːlˠ# | *#zˈaːlˠ# {GOLD: >*} | *#zˈaːlˠ# | *#zˈalˠ# | *#zˈalˠ# {GOLD: #zˈalˠ#}
77     | ... | ... | ... | *#djˈɒːməron# | *#djˈaːmərɔ# | *#d͡ʒjˈaməro# | *#d͡ʒˈaməro# | *#zˈãməɾɔ# | *#zˈãməɾ# | *#zˈãmɾ̩# {GOLD: #zˈãməɾə#} | *#zˈə̃mɾ̩# | *#zˈəmɾ̩# | *#zˈəməɾ# {GOLD: #zˈəməɾ#}
78     | ... | ... | ... | ... | ... | *#jod͡zˈɛfo# | *#jod͡zˈɛfo# | *#jɔzˈɛfɔ# | *#jɔzˈɛːf# | *#jɔzˈɛːf# {GOLD: >*} | *#jɔzˈɛːf# | *#jɔzˈɛf# | *#jɔzˈɛf# {GOLD: #zˈɛf#}
