etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
773    | ... | ... | ... | ... | *#tˈinkɑ# | *#tˈenkɑ# | *#tˈɛnkɑ# | *#tˈɛnɡɑ# | *#tˈɛnɡɑ# | *#tˈɛ̃ːnɡə# {GOLD: >*} | *#tˈɛ̃ːnɡə# {GOLD: >*} | *#tˈɛnɡə# {GOLD: >*} | *#tˈɛnɡə# | *#tˈɛnɡə# {GOLD: #tˈiŋɡə#}
774    | ... | ... | ... | ... | *#tˌinːˈunkəlːu# | *#tˌenːˈunklːu# | *#tənːˈunklːu# | *#tənːˈunɡlːu# | *#tənːˈunɡlːu# | *#tə̃nːˈũːnɡlː# {GOLD: >*} | *#tə̃nˈũːnɡlˠ# {GOLD: >*} | *#tənˈunɡlˠ# {GOLD: >*} | *#tənˈunɡlˠ# | *#tənˈunɡlˠ# {GOLD: #tˈiŋɡəlˠ#}
775    | ... | ... | ... | ... | *#tˈitəlːu# | *#tˈetlːu# | *#tˈɛtlːu# | *#tˈɛtlːu# | *#tˈɛtlːu# | *#tˈɛtlː# {GOLD: >*} | *#tˈɛtlˠ# {GOLD: >*} | *#tˈɛtlˠ# {GOLD: >*} | *#tˈɛtlˠ# | *#tˈɛtlˠ# {GOLD: #tˈitulˠ#}
776    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#tˈi# {GOLD: >*} | *#tˈi# {GOLD: >*} | *#tˈi# {GOLD: >*} | *#tˈi# | *#tˈi# {GOLD: #tˈis#}
777    | ... | ... | ... | ... | *#tˈiːnɑ# | *#tˈinɑ# | *#tˈinɑ# | *#tˈinɑ# | *#tˈinɑ# | *#tˈĩːnə# {GOLD: >*} | *#tˈĩːɾə# {GOLD: >*} | *#tˈiɾə# {GOLD: >*} | *#tˈiɾə# | *#tˈiɾə# {GOLD: #tˈinə#}
778    | ... | ... | ... | ... | ... | ... | ... | *#tˈɑjɪnɑ# | *#tˈɑjɪnɑ# | *#tˈajnə# {GOLD: >*} | *#tˈajnə# {GOLD: >*} | *#tˈajnə# {GOLD: >*} | *#tˈajnə# | *#tˈajnə# {GOLD: #tˈinə#}
779    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#tˈĩːnə# {GOLD: >*} | *#tˈĩːɾə# {GOLD: >*} | *#tˈiɾə# {GOLD: >*} | *#tˈiɾə# | *#tˈiɾə# {GOLD: #tˈinə#}
780    | ... | ... | ... | ... | *#tˈeɡməne# | *#tˈɛɡmnɛ# | *#tˈiɡmnɛ# | *#tˈiɡmnɛ# | *#tˈiɡmnɛ# | *#tˈiɡmn# {GOLD: #tˈĩːmɑ̃ɾ̃ə#} | *#tˈiɡmn# {GOLD: >*} | *#tˈiɡmn# {GOLD: >*} | *#tˈiɡmn# | *#tˈiɡmn# {GOLD: #tˈiməɾ#}
781    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#tˌat͡ʃˈidlə# {GOLD: >*} | *#tˌat͡ʃˈidlə# {GOLD: >*} | *#tət͡ʃˈidlə# {GOLD: >*} | *#tət͡ʃˈidlə# | *#tət͡ʃˈidlə# {GOLD: #tɔt͡ʃˈilˠə#}
782    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#tˌat͡ʃˈit# {GOLD: >*} | *#tˌat͡ʃˈit# {GOLD: >*} | *#tət͡ʃˈit# {GOLD: >*} | *#tət͡ʃˈit# | *#tət͡ʃˈit# {GOLD: #tɔt͡ʃˈit#}
783    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#tˌarˈiːʃt͡ʃ# {GOLD: >*} | *#tˌaɾˈiːʃt͡ʃ# {GOLD: >*} | *#təɾˈiʃt͡ʃ# {GOLD: >*} | *#təɾˈit͡ʃt͡ʃ# | *#təɾˈit͡ʃt͡ʃ# {GOLD: #tɔɾˈiʃtə#}
784    | ... | ... | ... | ... | ... | ... | ... | *#tˌɒrˈɒwʊ# | *#tˌɒrˈɒwʊ# | *#tˌarˈaw# {GOLD: >*} | *#tˌaɾˈaw# {GOLD: >*} | *#təɾˈaw# {GOLD: >*} | *#təɾˈaw# | *#təɾˈaw# {GOLD: #tɔɾˈua̯#}
785    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#tˌapˈidl# {GOLD: >*} | *#tˌapˈidl# {GOLD: >*} | *#təpˈidl# {GOLD: >*} | *#təpˈidl# | *#təpˈidl# {GOLD: #tɔpˈil#}
786    | ... | ... | ... | *#tˈomɑː̹ron# | *#tˈoməro# | *#tˈomro# | *#tˈɔmrɔ# | *#tˈɔmrɔ# | *#tˈɔmrɔ# | *#tˈɔ̃ːmr# {GOLD: >*} | *#tˈɔ̃ːmɾ# {GOLD: >*} | *#tˈɔmɾ# {GOLD: >*} | *#tˈɔmɾ# | *#tˈɔmɾ# {GOLD: #tɔmˈɔr#}
787    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#tˈakə# {GOLD: >*} | *#tˈakə# {GOLD: >*} | *#tˈakə# {GOLD: >*} | *#tˈakə# | *#tˈakə# {GOLD: #tˈɔkə#}
788    | ... | ... | ... | ... | *#tˈorkəlːu# | *#tˈorklːu# | *#tˈɔrklːu# | *#tˈɔrklːu# | *#tˈɔrklːu# | *#tˈɔːrklː# {GOLD: >*} | *#tˈɔːɾklˠ# {GOLD: >*} | *#tˈɔɾklˠ# {GOLD: >*} | *#tˈɔɾklˠ# | *#tˈɔɾklˠ# {GOLD: #tˈɔɾkulˠ#}
789    | ... | ... | ... | ... | *#tˈortɑ# | *#tˈortɑ# | *#tˈɔrtɑ# | *#tˈɔrtɑ# | *#tˈɔrtɑ# | *#tˈɔːrtə# {GOLD: >*} | *#tˈɔːɾtə# {GOLD: >*} | *#tˈɔɾtə# {GOLD: >*} | *#tˈɔɾtə# | *#tˈɔɾtə# {GOLD: #tˈɔɾtə#}
790    | ... | ... | ... | ... | *#tˈornu# | *#tˈornu# | *#tˈɔrnu# | *#tˈɔrnu# | *#tˈɔrnu# | *#tˈɔːrn# {GOLD: >*} | *#tˈɔːɾn# {GOLD: >*} | *#tˈɔɾn# {GOLD: >*} | *#tˈɔɾn# | *#tˈɔɾn# {GOLD: #tˈɔrə#}
791    | ... | ... | ... | ... | ... | ... | ... | *#tˈɒpɒrʊ# | *#tˈɒpɒrʊ# | *#tˈapar# {GOLD: >*} | *#tˈapaɾ# {GOLD: >*} | *#tˈapaɾ# {GOLD: >*} | *#tˈapaɾ# | *#tˈapaɾ# {GOLD: #tˈɔpəɾ#}
792    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#tˌũt͡sjˈãː# {GOLD: >*} | *#tˌũt͡sjˈəː# {GOLD: >*} | *#tət͡sjˈə# {GOLD: >*} | *#tət͡sjˈə# | *#tət͡sjˈə# {GOLD: #tunt͡ʃˈan#}
793    | ... | ... | ... | ... | *#tˌereˈelɑ# | *#tˌɛrɛˈɛlɑ# | *#tərəjˈɛlɑ# | *#tərəjˈɛlɑ# | *#tərəjˈɛlɑ# | *#tərəjˈɛːlə# {GOLD: >*} | *#təɾəjˈɛːlə# {GOLD: >*} | *#təɾəjˈɛlə# {GOLD: >*} | *#təɾəjˈɛlə# | *#təɾəjˈɛlə# {GOLD: #tuɾjˈɛlə#}
794    | ... | ... | ... | ... | *#ˌutrˈiːnu# | *#ˌutrˈinu# | *#trˈinu# | *#trˈinu# | *#trˈinu# | *#trˈĩː# {GOLD: #tuɾˈĩː#} | *#tɾˈĩː# {GOLD: >*} | *#tɾˈi# {GOLD: >*} | *#tɾˈi# | *#tɾˈi# {GOLD: #tuɾˈi#}
795    | ... | ... | ... | ... | *#tˌortjˈɑːɲoː# | *#tˌortjˈɑɲø# | *#tərtjˈɑɲɛ# | *#tər?1ˈɑɲɛ# | *#tər?1ˈɑɲɛ# | *#tər?1ˈãːɲ# {GOLD: >*} | *#təɾ?1ˈəːɲ# {GOLD: >*} | *#təɾ?1ˈəɲ# {GOLD: >*} | *#təɾ?1ˈəɲ# | *#təɾ?1ˈəɲ# {GOLD: #tuɾʃˈɛj#}
796    | ... | ... | ... | ... | *#trˌɑːsflˈɑːɲoː# | *#trˌɑsflˈɑɲø# | *#trəsflˈɑɲɛ# | *#trəʃflˈɑɲɛ# | *#trəʃflˈɑɲɛ# | *#trəʃflˈãːɲ# {GOLD: >*} | *#tɾəʃflˈəːɲ# {GOLD: >*} | *#tɾəʃflˈəɲ# {GOLD: >*} | *#tɾət͡ʃflˈəɲ# | *#tɾət͡ʃflˈəɲ# {GOLD: #tuɾfulˠˈɔj#}
797    | ... | ... | ... | ... | *#tˈuəlːɑ# | *#tˈulːɑ# | *#tˈulːɑ# | *#tˈulːɑ# | *#tˈulːɑ# | *#tˈuːlːə# {GOLD: >*} | *#tˈuːlˠə# {GOLD: #tˈuːlˠə#} | *#tˈulˠə# {GOLD: >*} | *#tˈulˠə# | *#tˈulˠə# {GOLD: #tˈulˠə#}
798    | ... | ... | ... | ... | ... | ... | ... | *#tˈɯnjɑ# | *#tˈɯnjɑ# | *#tˈũːnɛ# {GOLD: #tˈũɲə#} | *#tˈũːɾɛ# {GOLD: >*} | *#tˈuɾɛ# {GOLD: >*} | *#tˈuɾɛ# | *#tˈuɾɛ# {GOLD: #tˈuɲə#}
799    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#tˈũː# {GOLD: >*} | *#tˈũː# {GOLD: >*} | *#tˈu# {GOLD: >*} | *#tˈu# | *#tˈu# {GOLD: #tˈun#}
800    | ... | ... | ... | ... | *#tˈundoː# | *#tˈundø# | *#tˈundɛ# | *#tˈundɛ# | *#tˈundɛ# | *#tˈũːnd# {GOLD: >*} | *#tˈũːnd# {GOLD: >*} | *#tˈund# {GOLD: >*} | *#tˈund# | *#tˈun# {GOLD: #tˈund#}
801    | ... | ... | ... | ... | *#tˈurtəre# | *#tˈurtrɛ# | *#tˈyrtrɛ# | *#tˈyrtrɛ# | *#tˈyrtrɛ# | *#tˈyːrtr# {GOLD: >*} | *#tˈyːɾtɾ# {GOLD: >*} | *#tˈyɾtɾ# {GOLD: >*} | *#tˈyɾtɾ# | *#tˈyɾtɾ# {GOLD: #tˈuɾtulˠ#}
802    | ... | ... | ... | ... | ... | ... | ... | *#tˈurpɛ# | *#tˈurpɛ# | *#tˈuːrp# {GOLD: >*} | *#tˈuːɾp# {GOLD: >*} | *#tˈuɾp# {GOLD: >*} | *#tˈuɾp# | *#tˈuɾp# {GOLD: #tˈuɾp#}
803    | ... | ... | ... | ... | *#tˈurbɑ# | *#tˈurbɑ# | *#tˈurbɑ# | *#tˈurbɑ# | *#tˈurbɑ# | *#tˈuːrbə# {GOLD: >*} | *#tˈuːɾbə# {GOLD: >*} | *#tˈuɾbə# {GOLD: >*} | *#tˈuɾbə# | *#tˈuɾbə# {GOLD: #tˈuɾbə#}
804    | ... | ... | ... | ... | *#tˈurmɑ# | *#tˈurmɑ# | *#tˈurmɑ# | *#tˈurmɑ# | *#tˈurmɑ# | *#tˈuːrmə# {GOLD: >*} | *#tˈuːɾmbə# {GOLD: >*} | *#tˈuɾmbə# {GOLD: >*} | *#tˈuɾmbə# | *#tˈuɾmbə# {GOLD: #tˈuɾmə#}
805    | ... | ... | ... | ... | *#tˈurːe# | *#tˈurːɛ# | *#tˈyrːɛ# | *#tˈyrːɛ# | *#tˈyrːɛ# | *#tˈyːrː# {GOLD: >*} | *#tˈyːr# {GOLD: >*} | *#tˈyr# {GOLD: >*} | *#tˈyr# | *#tˈyr# {GOLD: #tˈurə#}
806    | ... | ... | ... | ... | *#tˈufɑ# | *#tˈufɑ# | *#tˈufɑ# | *#tˈufɑ# | *#tˈufɑ# | *#tˈuːfə# {GOLD: >*} | *#tˈuːfə# {GOLD: >*} | *#tˈufə# {GOLD: >*} | *#tˈufə# | *#tˈufə# {GOLD: #tˈufə#}
807    | ... | ... | ... | ... | ... | ... | ... | ... | *#tˈuvla# | *#tˈuːvlə# {GOLD: >*} | *#tˈuːvlə# {GOLD: >*} | *#tˈuvlə# {GOLD: >*} | *#tˈuvlə# | *#tˈuvlə# {GOLD: #tˈuvlə#}
808    | ... | ... | ... | ... | *#tˈuməlːu# | *#tˈumlːu# | *#tˈumlːu# | *#tˈumlːu# | *#tˈumlːu# | *#tˈũːmlː# {GOLD: >*} | *#tˈũːmlˠ# {GOLD: >*} | *#tˈumlˠ# {GOLD: >*} | *#tˈumlˠ# | *#tˈumlˠ# {GOLD: #tˈumulˠ#}
809    | ... | ... | ... | ... | *#tˈumbɑ# | *#tˈumbɑ# | *#tˈumbɑ# | *#tˈumbɑ# | *#tˈumbɑ# | *#tˈũːmbə# {GOLD: >*} | *#tˈũːmbə# {GOLD: >*} | *#tˈumbə# {GOLD: >*} | *#tˈumbə# | *#tˈumbə# {GOLD: #tˈumbə#}
810    | ... | ... | ... | ... | *#trˌɑktˈɑːɲoː# | *#trˌɑktˈɑɲø# | *#trəktˈɑɲɛ# | *#trəftˈɑɲɛ# | *#trəftˈɑɲɛ# | *#trəftˈãːɲ# {GOLD: >*} | *#tɾəftˈəːɲ# {GOLD: >*} | *#tɾəftˈəɲ# {GOLD: >*} | *#tɾəftˈəɲ# | *#tɾəftˈəɲ# {GOLD: #tɾajtˈɔj#}
811    | ... | ... | ... | ... | *#trˌuːdikuʎˈiːɲoː# | *#trˌyekuʎˈiɲø# | *#trəəkəʎˈiɲɛ# | *#trəəkəʎˈiɲɛ# | *#trəəkəʎˈiɲɛ# | *#trəəkəʎˈĩːɲ# {GOLD: #tɾakulˠˈĩɲ#} | *#tɾəəkəʎˈĩːɲ# {GOLD: >*} | *#tɾəəkəjˈiɲ# {GOLD: >*} | *#tɾəəkəjˈiɲ# | *#tɾəəkəjˈiɲ# {GOLD: #tɾakulˠˈij#}
812    | ... | ... | ... | ... | *#trˌɑːsˌiɡˈoɲoː# | *#trˌɑsˌeɡˈoɲø# | *#trəsəɡˈɔɲɛ# | *#trəʃəɡˈɔɲɛ# | *#trəʃəɡˈɔɲɛ# | *#trəʃəɡˈɔ̃ːɲ# {GOLD: >*} | *#tɾəʃəɡˈɔ̃ːɲ# {GOLD: >*} | *#tɾəʃəɡˈɔɲ# {GOLD: >*} | *#tɾəʃəɡˈɔɲ# | *#tɾəʃəɡˈɔɲ# {GOLD: #tɾaʃəɡˈɔj#}
813    | ... | ... | ... | ... | *#trˌɑːsmˌedjˈɑːɲoː# | *#trˌɑsmˌɛdjˈɑɲø# | *#trəsmədjˈɑɲɛ# | *#trəʃmə?1̬ˈɑɲɛ# | *#trəʃmə?1̬ˈɑɲɛ# | *#trəʒm?1̬ˈãːɲ# {GOLD: >*} | *#tɾəʒm?1̬ˈəːɲ# {GOLD: >*} | *#tɾəʒm?1̬ˈəɲ# {GOLD: >*} | *#tɾəʒm?1̬ˈəɲ# | *#tɾəʒm?1̬ˈəɲ# {GOLD: #tɾaməzˈɔj#}
814    | ... | ... | ... | ... | *#trˈɑu# | *#trˈɑu# | *#trˈɑu# | *#trˈɑu# | *#trˈɑu# | *#trˈa# {GOLD: >*} | *#tɾˈa# {GOLD: >*} | *#tɾˈa# {GOLD: >*} | *#tɾˈa# | *#tɾˈa# {GOLD: #tɾˈa#}
815    | ... | ... | ... | ... | *#trˈɑktu# | *#trˈɑktu# | *#trˈɑktu# | *#trˈɑftu# | *#trˈɑftu# | *#trˈaːft# {GOLD: >*} | *#tɾˈaːft# {GOLD: >*} | *#tɾˈaft# {GOLD: >*} | *#tɾˈaft# | *#tɾˈaft# {GOLD: #tɾˈajt#}
816    | ... | ... | ... | ... | *#trˈɑktɑ# | *#trˈɑktɑ# | *#trˈɑktɑ# | *#trˈɑftɑ# | *#trˈɑftɑ# | *#trˈaːftə# {GOLD: >*} | *#tɾˈaːftə# {GOLD: >*} | *#tɾˈaftə# {GOLD: >*} | *#tɾˈaftə# | *#tɾˈaftə# {GOLD: #tɾˈajtə#}
817    | ... | ... | ... | ... | ... | *#tˌɛtrˈɑnɡuron# | *#tətrˈɑnɡurɔn# | *#tətrˈɑnɡurɔn# | *#tətrˈɑnɡurɔn# | *#tətrˈãːnɡurɔ̃# {GOLD: >*} | *#tətɾˈəːnɡuɾɔ̃# {GOLD: >*} | *#tətɾˈənɡuɾə# {GOLD: >*} | *#tətɾˈənɡuɾə# | *#tətɾˈənɡuɾə# {GOLD: #tɾˈaŋɡulˠ#}
818    | ... | ... | ... | ... | *#tˌerːˈɑːtəku# | *#tˌɛrːˈɑtku# | *#tərːˈɑtku# | *#tərːˈɑtku# | *#tərːˈɑtku# | *#tərːˈatk# {GOLD: >*} | *#tərˈatk# {GOLD: >*} | *#tərˈatk# {GOLD: >*} | *#tərˈatk# | *#tərˈatk# {GOLD: #tɾˈatk#}
819    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#trˈap# {GOLD: >*} | *#tɾˈap# {GOLD: >*} | *#tɾˈap# {GOLD: >*} | *#tɾˈap# | *#tɾˈap# {GOLD: #tɾˈap#}
820    | ... | ... | ... | *#trˌɑntˈɑfyːllɔn# | *#trˌɑntˈɑfəlɔ# | *#trˌɑntˈɑflo# | *#trəntˈɑflɔ# | *#trəndˈɑflɔ# | *#trəndˈɑflɔ# | *#trə̃ndˈaːfl# {GOLD: >*} | *#tɾə̃ndˈaːfl# {GOLD: >*} | *#tɾəndˈafl# {GOLD: >*} | *#tɾəndˈafl# | *#tɾənˈafl# {GOLD: #tɾəndafˈil#}
821    | ... | ... | ... | ... | *#trˌistˈɑːɲoː# | *#trˌestˈɑɲø# | *#trəstˈɑɲɛ# | *#trəʃtˈɑɲɛ# | *#trəʃtˈɑɲɛ# | *#trəʃtˈãːɲ# {GOLD: >*} | *#tɾəʃtˈəːɲ# {GOLD: >*} | *#tɾəʃtˈəɲ# {GOLD: >*} | *#tɾət͡ʃtˈəɲ# | *#tɾət͡ʃtˈəɲ# {GOLD: #tɾiʃtˈɔj#}
822    | ... | ... | ... | ... | ... | ... | ... | *#trˈɪʃʊ# | *#trˈɪʃʊ# | *#trˈɪːʃ# {GOLD: >*} | *#tɾˈɪːʃ# {GOLD: >*} | *#tɾˈɪʃ# {GOLD: >*} | *#tɾˈɪʃ# | *#tɾˈɪʃ# {GOLD: #tɾˈiʃ#}
823    | ... | ... | ... | ... | ... | ... | ... | *#tˈɪrʃu# | *#tˈɪrʃu# | *#tˈɪːrʃ# {GOLD: >*} | *#tˈɪːɾʃ# {GOLD: >*} | *#tˈɪɾʃ# {GOLD: >*} | *#tˈɪɾʃ# | *#tˈɪɾʃ# {GOLD: #tɾˈiʃ#}
824    | ... | ... | ... | ... | *#trˈiːste# | *#trˈistɛ# | *#trˈistɛ# | *#trˈiʃtɛ# | *#trˈiʃtɛ# | *#trˈiːʃt# {GOLD: >*} | *#tɾˈiːʃt# {GOLD: >*} | *#tɾˈiʃt# {GOLD: >*} | *#tɾˈit͡ʃt# | *#tɾˈit͡ʃt# {GOLD: #tɾˈiʃt#}
825    | ... | ... | ... | ... | *#trˈiːnɑ# | *#trˈinɑ# | *#trˈinɑ# | *#trˈinɑ# | *#trˈinɑ# | *#trˈĩːnə# {GOLD: #tɾˈĩnə#} | *#tɾˈĩːɾə# {GOLD: >*} | *#tɾˈiɾə# {GOLD: >*} | *#tɾˈiɾə# | *#tɾˈiɾə# {GOLD: #tɾˈinə#}
826    | ... | ... | ... | ... | *#trˈɑəzɑ# | *#trˈɑzɑ# | *#trˈɑzɑ# | *#trˈɑzɑ# | *#trˈɑzɑ# | *#trˈaːzə# {GOLD: >*} | *#tɾˈaːzə# {GOLD: >*} | *#tɾˈazə# {GOLD: >*} | *#tɾˈazə# | *#tɾˈazə# {GOLD: #tɾˈye̯zə#}
827    | ... | ... | ... | ... | *#tˌereˈelɑ# | *#tˌɛrɛˈɛlɑ# | *#tərəjˈɛlɑ# | *#tərəjˈɛlɑ# | *#tərəjˈɛlɑ# | *#tərəjˈɛːlə# {GOLD: >*} | *#təɾəjˈɛːlə# {GOLD: >*} | *#təɾəjˈɛlə# {GOLD: >*} | *#təɾəjˈɛlə# | *#təɾəjˈɛlə# {GOLD: #tɾˈye̯lə#}
828    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#trˌãtˈit# {GOLD: >*} | *#tɾˌə̃tˈit# {GOLD: >*} | *#tɾətˈit# {GOLD: >*} | *#tɾətˈit# | *#tɾətˈit# {GOLD: #tɾɔndˈit#}
829    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#trˈaxə# {GOLD: >*} | *#tɾˈahə# {GOLD: >*} | *#tɾˈahə# {GOLD: >*} | *#tɾˈahə# | *#tɾˈahə# {GOLD: #tɾˈɔhə#}
830    | ... | ... | ... | ... | *#trˈuktɑ# | *#trˈuktɑ# | *#trˈuktɑ# | *#trˈuftɑ# | *#trˈuftɑ# | *#trˈuːftə# {GOLD: >*} | *#tɾˈuːftə# {GOLD: >*} | *#tɾˈuftə# {GOLD: >*} | *#tɾˈuftə# | *#tɾˈuftə# {GOLD: #tɾˈɔftə#}
831    | ... | ... | ... | ... | ... | *#trˌumpeskˈoɲø# | *#trəmpəskˈɔɲɛ# | *#trəmbəʃkˈɔɲɛ# | *#trəmbəʃkˈɔɲɛ# | *#trə̃mbəʃkˈɔ̃ːɲ# {GOLD: #tɾˌuʃkˈyø̯̃ɲ#} | *#tɾə̃mbəʃkˈɔ̃ːɲ# {GOLD: #tɾuʃkˈye̯ɲ#} | *#tɾəmbəʃkˈɔɲ# {GOLD: >*} | *#tɾəmbət͡ʃkˈɔɲ# | *#tɾəmbət͡ʃkˈɔɲ# {GOLD: #tɾuʃcˈye̯j#}
832    | ... | ... | ... | ... | *#tˌurbulːˈɑːɲoː# | *#tˌurbulːˈɑɲø# | *#tərbəlːˈɑɲɛ# | *#tərbəlːˈɑɲɛ# | *#tərbəlːˈɑɲɛ# | *#tərbəlːˈãːɲ# {GOLD: >*} | *#təɾbəlˠˈəːɲ# {GOLD: >*} | *#təɾbəlˠˈəɲ# {GOLD: >*} | *#təɾbəlˠˈəɲ# | *#təɾbəlˠˈəɲ# {GOLD: #tɾubulˠˈɔj#}
833    | ... | ... | ... | ... | *#trˌɑːdˈoɲoː# | *#trˌɑˈoɲø# | *#trəˈɔɲɛ# | *#trəˈɔɲɛ# | *#trəˈɔɲɛ# | *#trˈɔ̃ːɲ# {GOLD: >*} | *#tɾˈɔ̃ːɲ# {GOLD: >*} | *#tɾˈɔɲ# {GOLD: >*} | *#tɾˈɔɲ# | *#tɾˈɔɲ# {GOLD: #tɾˈua̯j#}
834    | ... | ... | ... | ... | *#trˈiːəlːu# | *#trˈilːu# | *#trˈilːu# | *#trˈilːu# | *#trˈilːu# | *#trˈiːlː# {GOLD: #tɾˈuo̯lˠ#} | *#tɾˈiːlˠ# {GOLD: >*} | *#tɾˈilˠ# {GOLD: >*} | *#tɾˈilˠ# | *#tɾˈilˠ# {GOLD: #tɾˈua̯lˠ#}
835    | ... | ... | ... | ... | *#trˈunku# | *#trˈunku# | *#trˈunku# | *#trˈunɡu# | *#trˈunɡu# | *#trˈũːnɡ# {GOLD: >*} | *#tɾˈũːnɡ# {GOLD: >*} | *#tɾˈunɡ# {GOLD: >*} | *#tɾˈunɡ# | *#tɾˈunɡ# {GOLD: #tɾˈuŋɡ#}
836    | ... | ... | ... | ... | *#tˈurbəlːu# | *#tˈurblːu# | *#tˈurblːu# | *#tˈurblːu# | *#tˈurblːu# | *#tˈuːrblː# {GOLD: >*} | *#tˈuːɾblˠ# {GOLD: >*} | *#tˈuɾblˠ# {GOLD: >*} | *#tˈuɾblˠ# | *#tˈuɾblˠ# {GOLD: #tɾˈubulˠ#}
837    | ... | ... | ... | *#tʰˈumbrɑː̹# | *#tʰˈumbrɑː̹# | *#tˈumbrɤ̹# | *#tˈumbrʌ̹# | *#tˈumbrʌ̹# | *#tˈumbrʌ̹# | *#tˈũːmbr# {GOLD: >*} | *#tˈũːmbɾ# {GOLD: >*} | *#tˈumbɾ# {GOLD: >*} | *#tˈumbɾ# | *#tˈumbɾ# {GOLD: #tɾˈumə#}
838    | ... | ... | ... | ... | *#trˈumbɑ# | *#trˈumbɑ# | *#trˈumbɑ# | *#trˈumbɑ# | *#trˈumbɑ# | *#trˈũːmbə# {GOLD: >*} | *#tɾˈũːmbə# {GOLD: >*} | *#tɾˈumbə# {GOLD: >*} | *#tɾˈumbə# | *#tɾˈumbə# {GOLD: #tɾˈumbə#}
839    | ... | ... | ... | ... | *#tˌimˈoːre# | *#tˌemˈorɛ# | *#təmˈye̯rɛ# | *#təmˈye̯rɛ# | *#təmˈye̯rɛ# | *#tə̃mˈye̯r# {GOLD: >*} | *#tə̃mˈye̯ɾ# {GOLD: >*} | *#təmˈye̯ɾ# {GOLD: >*} | *#təmˈye̯ɾ# | *#təmˈye̯ɾ# {GOLD: #tmˈɛr#}
840    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#dˌarˈaːvə# {GOLD: >*} | *#dˌaɾˈaːvə# {GOLD: >*} | *#dəɾˈavə# {GOLD: >*} | *#dəɾˈavə# | *#dəɾˈavə# {GOLD: #daɾˈɔvə#}
841    | ... | ... | ... | ... | ... | ... | ... | *#dˈɒlftɑ# | *#dˈɒlftɑ# | *#dˈaːlftə# {GOLD: >*} | *#dˈaːlftə# {GOLD: >*} | *#dˈalftə# {GOLD: >*} | *#dˈalftə# | *#dˈalftə# {GOLD: #dˈaltə#}
842    | ... | ... | ... | ... | *#ˌindˌikˈoɲoː# | *#ˌendˌekˈoɲø# | *#əndəkˈɔɲɛ# | *#əndəkˈɔɲɛ# | *#əndəkˈɔɲɛ# | *#hə̃ndəkˈɔ̃ːɲ# {GOLD: >*} | *#hə̃ndəkˈɔ̃ːɲ# {GOLD: >*} | *#həndəkˈɔɲ# {GOLD: >*} | *#həndəkˈɔɲ# | *#hənəkˈɔɲ# {GOLD: #dəkˈɔj#}
843    | ... | ... | ... | ... | *#dˌoʎˈeːɲoː# | *#dˌoʎˈeɲø# | *#dəʎˈɛɲɛ# | *#dəʎˈɛɲɛ# | *#dəʎˈɛɲɛ# | *#dəʎˈɛ̃ːɲ# {GOLD: >*} | *#dəʎˈɛ̃ːɲ# {GOLD: >*} | *#dəjˈɛɲ# {GOLD: >*} | *#dəjˈɛɲ# | *#dəjˈɛɲ# {GOLD: #dəlˠˈɛj#}
844    | ... | ... | ... | ... | *#dˌeːsˌiːderˈɑːɲoː# | *#dˌisˌiɛrˈɑɲø# | *#dəsəərˈɑɲɛ# | *#dəʃəərˈɑɲɛ# | *#dəʃəərˈɑɲɛ# | *#dəʃəərˈãːɲ# {GOLD: >*} | *#dəʃəəɾˈəːɲ# {GOLD: >*} | *#dəʃəəɾˈəɲ# {GOLD: >*} | *#dəʃəəɾˈəɲ# | *#dəʃəəɾˈəɲ# {GOLD: #dəʃiɾˈɔj#}
845    | ... | ... | ... | ... | *#dˌeːsˌiːdˈerjɑ# | *#dˌisˌiˈɛrjɑ# | *#dəsəˈirjɑ# | *#dəʃəˈirjɑ# | *#dəʃəˈirjɑ# | *#dəʃˈiːrɛ# {GOLD: >*} | *#dəʃˈiːɾɛ# {GOLD: >*} | *#dəʃˈiɾɛ# {GOLD: >*} | *#dəʃˈiɾɛ# | *#dəʃˈiɾɛ# {GOLD: #dəʃˈiɾə#}
