etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg | Proto-Tosk | Old North Tosk | Output {GOLD}
10     | #kˌoɡnˈoːskɑtɑ# | *#kˌʊŋnˈoːskɑtɑ# | *#kˌuŋnˈøskɑtɑ# | *#kˌuŋnˈøskata# | *#kˌũːŋnˈœʃkɐta# | *#kˌũːŋnˈɛːʃkɐta# | *#kˌũːnːˈɛːʃtə# | *#kˌũːnˈɛːʃtə# | *#kunˈɛʃtə# | *#kunˈɛʃtə#
11     | #kˌoɡnˈoːskeretɑ# | *#kˌʊŋnˈoːskɛrɛtɑ# | *#kˌuŋnˈøskɛrtɑ# | *#kˌuŋnˈøscɪrta# | *#kˌũːŋnˈœʃcɪɾta# | *#kˌũːŋnˈɛːʃcəɾta# | *#kˌũːnːˈɛːʃcɾ̩tə# | *#kˌũːnˈɛːʃcɾ̩tə# | *#kunˈɛʃcɾ̩tə# | *#kunˈɛʃcəɾtə#
12     | #ɡnˈoːskitɑ# | *#ŋnˈoːskɪtɑ# | *#ŋnˈøsktɑ# | *#əŋnˈøsta# | *#ə̃ŋnˈœʃta# | *#ə̃ŋnˈɛːʃta# | *#ə̃nːˈɛːʃtə# | *#ə̃nˈɛːʃtə# | *#nˈɛʃtə# | *#nˈɛʃtə#
13     | #ɡnˈoːsketɑ# | *#ŋnˈoːskɛtɑ# | *#ŋnˈøsktɑ# | *#əŋnˈøsta# | *#ə̃ŋnˈœʃta# | *#ə̃ŋnˈɛːʃta# | *#ə̃nːˈɛːʃtə# | *#ə̃nˈɛːʃtə# | *#nˈɛʃtə# | *#nˈɛʃtə#
14     | #ɡnˈoːskɑtɑ# | *#ŋnˈoːskɑtɑ# | *#ŋnˈøskɑtɑ# | *#əŋnˈøskata# | *#ə̃ŋnˈœʃkɐta# | *#ə̃ŋnˈɛːʃkɐta# | *#ə̃nːˈɛːʃtə# | *#ə̃nˈɛːʃtə# | *#nˈɛʃtə# | *#nˈɛʃtə#
15     | #ɡnˈoːskeretɑ# | *#ŋnˈoːskɛrɛtɑ# | *#ŋnˈøskɛrtɑ# | *#əŋnˈøscɪrta# | *#ə̃ŋnˈœʃcɪɾta# | *#ə̃ŋnˈɛːʃcəɾta# | *#ə̃nːˈɛːʃcɾ̩tə# | *#ə̃nˈɛːʃcɾ̩tə# | *#nˈɛʃcɾ̩tə# | *#nˈɛʃcəɾtə#
16     | #kˌoɡnˈoskit# | *#kˌʊŋnˈɒskɪ# | *#kˌuŋnˈoske# | *#kˌuŋnˈoscɪ# | *#kˌũːŋnˈɔʃcɪ# | *#kˌũːŋnˈɔːʃcə# | *#kˌũːnːˈɔːʃc# | *#kˌũːnˈɔːʃc# | *#kunˈɔʃc# | *#kunˈɔʃc#
17     | #kˌoɡnˈosket# | *#kˌʊŋnˈɒskɛ# | *#kˌuŋnˈoskɛ# | *#kˌuŋnˈoscɪ# | *#kˌũːŋnˈɔʃcɪ# | *#kˌũːŋnˈɔːʃcə# | *#kˌũːnːˈɔːʃc# | *#kˌũːnˈɔːʃc# | *#kunˈɔʃc# | *#kunˈɔʃc#
18     | #kˌoɡnˈoskɑt# | *#kˌʊŋnˈɒskɑ# | *#kˌuŋnˈoskɑ# | *#kˌuŋnˈoska# | *#kˌũːŋnˈɔʃka# | *#kˌũːŋnˈɔːʃka# | *#kˌũːnːˈɔːʃkə# | *#kˌũːnˈɔːʃkə# | *#kunˈɔʃkə# | *#kunˈɔʃkə#
19     | #kˌoɡnˈoskeret# | *#kˌʊŋnˈɒskɛrɛ# | *#kˌuŋnˈoskɛrɛ# | *#kˌuŋnˈoscɪrɪ# | *#kˌũːŋnˈɔʃcɪɾɪ# | *#kˌũːŋnˈɔːʃcəɾə# | *#kˌũːnːˈɔːʃcɾ̩# | *#kˌũːnˈɔːʃcɾ̩# | *#kunˈɔʃcɾ̩# | *#kunˈɔʃcəɾ#
20     | #ɡnˈoskit# | *#ŋnˈɒskɪ# | *#ŋnˈoske# | *#əŋnˈoscɪ# | *#ə̃ŋnˈɔʃcɪ# | *#ə̃ŋnˈɔːʃcə# | *#ə̃nːˈɔːʃc# | *#ə̃nˈɔːʃc# | *#nˈɔʃc# | *#nˈɔʃc#
21     | #ɡnˈosket# | *#ŋnˈɒskɛ# | *#ŋnˈoskɛ# | *#əŋnˈoscɪ# | *#ə̃ŋnˈɔʃcɪ# | *#ə̃ŋnˈɔːʃcə# | *#ə̃nːˈɔːʃc# | *#ə̃nˈɔːʃc# | *#nˈɔʃc# | *#nˈɔʃc#
22     | #ɡnˈoskɑt# | *#ŋnˈɒskɑ# | *#ŋnˈoskɑ# | *#əŋnˈoska# | *#ə̃ŋnˈɔʃka# | *#ə̃ŋnˈɔːʃka# | *#ə̃nːˈɔːʃkə# | *#ə̃nˈɔːʃkə# | *#nˈɔʃkə# | *#nˈɔʃkə#
23     | #ɡnˈoskeret# | *#ŋnˈɒskɛrɛ# | *#ŋnˈoskɛrɛ# | *#əŋnˈoscɪrɪ# | *#ə̃ŋnˈɔʃcɪɾɪ# | *#ə̃ŋnˈɔːʃcəɾə# | *#ə̃nːˈɔːʃcɾ̩# | *#ə̃nˈɔːʃcɾ̩# | *#nˈɔʃcɾ̩# | *#nˈɔʃcəɾ#
24     | #kˌoɡnˈoskitɑ# | *#kˌʊŋnˈɒskɪtɑ# | *#kˌuŋnˈosktɑ# | *#kˌuŋnˈosta# | *#kˌũːŋnˈɔʃta# | *#kˌũːŋnˈɔːʃta# | *#kˌũːnːˈɔːʃtə# | *#kˌũːnˈɔːʃtə# | *#kunˈɔʃtə# | *#kunˈɔʃtə#
25     | #kˌoɡnˈosketɑ# | *#kˌʊŋnˈɒskɛtɑ# | *#kˌuŋnˈosktɑ# | *#kˌuŋnˈosta# | *#kˌũːŋnˈɔʃta# | *#kˌũːŋnˈɔːʃta# | *#kˌũːnːˈɔːʃtə# | *#kˌũːnˈɔːʃtə# | *#kunˈɔʃtə# | *#kunˈɔʃtə#
26     | #kˌoɡnˈoskɑtɑ# | *#kˌʊŋnˈɒskɑtɑ# | *#kˌuŋnˈoskɑtɑ# | *#kˌuŋnˈoskata# | *#kˌũːŋnˈɔʃkɐta# | *#kˌũːŋnˈɔːʃkɐta# | *#kˌũːnːˈɔːʃtə# | *#kˌũːnˈɔːʃtə# | *#kunˈɔʃtə# | *#kunˈɔʃtə#
27     | #kˌoɡnˈoskeretɑ# | *#kˌʊŋnˈɒskɛrɛtɑ# | *#kˌuŋnˈoskɛrtɑ# | *#kˌuŋnˈoscɪrta# | *#kˌũːŋnˈɔʃcɪɾta# | *#kˌũːŋnˈɔːʃcəɾta# | *#kˌũːnːˈɔːʃcɾ̩tə# | *#kˌũːnˈɔːʃcɾ̩tə# | *#kunˈɔʃcɾ̩tə# | *#kunˈɔʃcəɾtə#
28     | #ɡnˈoskitɑ# | *#ŋnˈɒskɪtɑ# | *#ŋnˈosktɑ# | *#əŋnˈosta# | *#ə̃ŋnˈɔʃta# | *#ə̃ŋnˈɔːʃta# | *#ə̃nːˈɔːʃtə# | *#ə̃nˈɔːʃtə# | *#nˈɔʃtə# | *#nˈɔʃtə#
29     | #ɡnˈosketɑ# | *#ŋnˈɒskɛtɑ# | *#ŋnˈosktɑ# | *#əŋnˈosta# | *#ə̃ŋnˈɔʃta# | *#ə̃ŋnˈɔːʃta# | *#ə̃nːˈɔːʃtə# | *#ə̃nˈɔːʃtə# | *#nˈɔʃtə# | *#nˈɔʃtə#
30     | #ɡnˈoskɑtɑ# | *#ŋnˈɒskɑtɑ# | *#ŋnˈoskɑtɑ# | *#əŋnˈoskata# | *#ə̃ŋnˈɔʃkɐta# | *#ə̃ŋnˈɔːʃkɐta# | *#ə̃nːˈɔːʃtə# | *#ə̃nˈɔːʃtə# | *#nˈɔʃtə# | *#nˈɔʃtə#
31     | #ɡnˈoskeretɑ# | *#ŋnˈɒskɛrɛtɑ# | *#ŋnˈoskɛrtɑ# | *#əŋnˈoscɪrta# | *#ə̃ŋnˈɔʃcɪɾta# | *#ə̃ŋnˈɔːʃcəɾta# | *#ə̃nːˈɔːʃcɾ̩tə# | *#ə̃nˈɔːʃcɾ̩tə# | *#nˈɔʃcɾ̩tə# | *#nˈɔʃcəɾtə#
32     | #kˈomputɑt# | *#kˈʊmpʊtɑ# | *#kˈumptɑ# | *#kˈumta# | *#kˈũmta# | *#kˈũmta# | *#kˈũmtə# | *#kˈũmtə# | *#kˈumtə# | *#kˈumtə#
33     | #kˌomputˈɑskit# | *#kˌʊmpʊtˈɑskɪ# | *#kˌumptˈɑske# | *#kˌumtˈescɪ# | *#kˌũːmtˈeʃcɪ# | *#kˌũːmtˈɛːʃcə# | *#kˌũːmtˈɛːʃc# | *#kˌũːmtˈɛːʃc# | *#kumtˈɛʃc# | *#kumtˈɛʃc#
34     | #kˌomputˈoːskit# | *#kˌʊmpʊtˈoːskɪ# | *#kˌumptˈøske# | *#kˌumtˈøscɪ# | *#kˌũːmtˈœʃcɪ# | *#kˌũːmtˈɛːʃcə# | *#kˌũːmtˈɛːʃc# | *#kˌũːmtˈɛːʃc# | *#kumtˈɛʃc# | *#kumtˈɛʃc#
35     | #kˌomputˈɑskitɑ# | *#kˌʊmpʊtˈɑskɪtɑ# | *#kˌumptˈɑsktɑ# | *#kˌumtˈasta# | *#kˌũːmtˈaʃta# | *#kˌũːmtˈaːʃta# | *#kˌũːmtˈaːʃtə# | *#kˌũːmtˈaːʃtə# | *#kumtˈaʃtə# | *#kumtˈaʃtə#
36     | #kˌomputˈoːskitɑ# | *#kˌʊmpʊtˈoːskɪtɑ# | *#kˌumptˈøsktɑ# | *#kˌumtˈøsta# | *#kˌũːmtˈœʃta# | *#kˌũːmtˈɛːʃta# | *#kˌũːmtˈɛːʃtə# | *#kˌũːmtˈɛːʃtə# | *#kumtˈɛʃtə# | *#kumtˈɛʃtə#
37     | #kˌomputˈɑːbit# | *#kˌʊmpʊtˈɑːβɪ# | *#kˌumptˈeβe# | *#kˌumtˈewɪ# | *#kˌũːmtˈeː# | *#kˌũːmtˈɛː# | *#kˌũːmtˈɛː# | *#kˌũːmtˈɛː# | *#kumtˈɛ# | *#kumtˈɛ#
38     | #kˈomputet# | *#kˈʊmpʊtɛ# | *#kˈumptɛ# | *#kˈumtɪ# | *#kˈũmtɪ# | *#kˈũmtə# | *#kˈũmt# | *#kˈũmt# | *#kˈumt# | *#kˈumt#
39     | #kˌomputˈɑːret# | *#kˌʊmpʊtˈɑːrɛ# | *#kˌumptˈɑrɛ# | *#kˌumtˈerɪ# | *#kˌũːmtˈeɾɪ# | *#kˌũːmtˈɛːɾə# | *#kˌũːmtˈɛːɾ# | *#kˌũːmtˈɛːɾ# | *#kumtˈɛɾ# | *#kumtˈɛɾ#
40     | #kˈomputɑtɑ# | *#kˈʊmpʊtɑtɑ# | *#kˈumpttɑ# | *#kˈumtta# | *#kˈũmta# | *#kˈũmta# | *#kˈũmtə# | *#kˈũmtə# | *#kˈumtə# | *#kˈumtə#
41     | #cˌomputˈɑːbitɑ# | *#cˌʊmpʊtˈɑːβʊtɑ# | *#cˌumptˈɑβutɑ# | *#cˌumtˈawuta# | *#cˌũːmtˈaːta# | *#cˌũːmtˈaːta# | *#cˌũːmtˈaːtə# | *#cˌũːmtˈaːtə# | *#cumtˈatə# | *#cumtˈatə#
42     | #kˈomputetɑ# | *#kˈʊmpʊtɛtɑ# | *#kˈumpttɑ# | *#kˈumtta# | *#kˈũmta# | *#kˈũmta# | *#kˈũmtə# | *#kˈũmtə# | *#kˈumtə# | *#kˈumtə#
43     | #kˌomputˈɑːretɑ# | *#kˌʊmpʊtˈɑːrɛtɑ# | *#kˌumptˈɑrtɑ# | *#kˌumtˈarta# | *#kˌũːmtˈaɾta# | *#kˌũːmtˈaːɾta# | *#kˌũːmtˈaːɾtə# | *#kˌũːmtˈaːɾtə# | *#kumtˈaɾtə# | *#kumtˈaɾtə#
44     | #fˈieret# | *#fˈɪɛrɛ# | *#fˈeɛrɛ# | *#fˈeɛrɪ# | *#fˈeɾɪ# | *#fˈɛːɾə# | *#fˈɛːɾ# | *#fˈɛːɾ# | *#fˈɛɾ# | *#fˈɛɾ#
45     | #fjˈeret# | *#fjˈɛrɛ# | *#fjˈɛrɛ# | *#fjˈɛrɪ# | *#fjˈɛɾɪ# | *#fjˈie̯ɾə# | *#fˈie̯ɾ# | *#fˈie̯ɾ# | *#fˈie̯ɾ# | *#fˈie̯ɾ#
46     | #fˈiːɑt# | *#fˈiɑ# | *#fˈijɑ# | *#fˈia# | *#fˈia# | *#fˈia# | *#fˈiː# | *#fˈiː# | *#fˈi# | *#fˈi#
47     | #fˈeret# | *#fˈɛrɛ# | *#fˈɛrɛ# | *#fˈɛrɪ# | *#fˈɛɾɪ# | *#fˈie̯ɾə# | *#fˈie̯ɾ# | *#fˈie̯ɾ# | *#fˈie̯ɾ# | *#fˈie̯ɾ#
48     | #fˈiːet# | *#fˈiɛ# | *#fˈiɛ# | *#fˈiɛ# | *#fˈi# | *#fˈi# | *#fˈi# | *#fˈi# | *#fˈi# | *#fˈi#
49     | #fˌiːet# | *#fˌiɛ# | *#fˌiɛ# | *#fˌiɛ# | *#fˌi# | *#fˌi# | *#fˌi# | *#fˌi# | *#fi# | *#fi#
50     | #fiˈeriː# | *#fjˈɛri# | *#fjˈɛri# | *#fjˈɛrɪ# | *#fjˈɛɾɪ# | *#fjˈie̯ɾə# | *#fˈie̯ɾ# | *#fˈie̯ɾ# | *#fˈie̯ɾ# | *#fˈie̯ɾ#
51     | #fiˈeriːtɑ# | *#fjˈɛritɑ# | *#fjˈɛrtɑ# | *#fˈɛrta# | *#fˈɛːɾta# | *#fˈie̯ɾta# | *#fjˈɛɾtə# | *#fjˈɛɾtə# | *#fjˈɛɾtə# | *#fjˈɛɾtə#
52     | #fˈieretɑ# | *#fˈɪɛrɛtɑ# | *#fˈeɛrtɑ# | *#fˈeɛrta# | *#fˈeɾta# | *#fˈɛːɾta# | *#fˈɛːɾtə# | *#fˈɛːɾtə# | *#fˈɛɾtə# | *#fˈɛɾtə#
53     | #fjˈeretɑ# | *#fjˈɛrɛtɑ# | *#fjˈɛrtɑ# | *#fˈɛrta# | *#fˈɛːɾta# | *#fˈie̯ɾta# | *#fjˈɛɾtə# | *#fjˈɛɾtə# | *#fjˈɛɾtə# | *#fjˈɛɾtə#
54     | #fˈiːɑtɑ# | *#fˈiɑtɑ# | *#fˈijɑtɑ# | *#fˈiata# | *#fˈiɐta# | *#fˈiɐta# | *#fˈiːtə# | *#fˈiːtə# | *#fˈitə# | *#fˈitə#
55     | #fˈeretɑ# | *#fˈɛrɛtɑ# | *#fˈɛrtɑ# | *#fˈɛrta# | *#fˈɛːɾta# | *#fˈie̯ɾta# | *#fjˈɛɾtə# | *#fjˈɛɾtə# | *#fjˈɛɾtə# | *#fjˈɛɾtə#
56     | #fˈiːetɑ# | *#fˈiɛtɑ# | *#fˈiɛtɑ# | *#fˈiɛta# | *#fˈita# | *#fˈita# | *#fˈitə# | *#fˈitə# | *#fˈitə# | *#fˈitə#
57     | #fˌiːetɑ# | *#fˈiɛtɑ# | *#fˈiɛtɑ# | *#fˈiɛta# | *#fˈita# | *#fˈita# | *#fˈitə# | *#fˈitə# | *#fˈitə# | *#fˈitə#
58     | #wˈelit# | *#wˈɛlɪ# | *#wˈɛle# | *#βˈɛlɪ# | *#βˈɛlɪ# | *#vˈɛːlə# | *#vˈɛːl# | *#vˈɛːl# | *#vˈɛl# | *#vˈɛl#
59     | #wˈolit# | *#wˈɒlɪ# | *#wˈole# | *#βˈolɪ# | *#βˈɔlɪ# | *#vˈɔːlˠə# | *#vˈɔːlˠ# | *#vˈɔːlˠ# | *#vˈɔlˠ# | *#vˈɔlˠ#
60     | #wˈult# | *#wˈʊlt# | *#wˈult# | *#βˈult# | *#βˈult# | *#vˈuːlt# | *#vˈuːlt# | *#vˈuːlt# | *#vˈult# | *#vˈult#
61     | #wˈolt# | *#wˈɒlt# | *#wˈolt# | *#βˈolt# | *#βˈɔlt# | *#vˈɔːlt# | *#vˈɔːlˠt# | *#vˈɔːlˠt# | *#vˈɔlˠt# | *#vˈɔlˠt#
62     | #wˈeli# | *#wˈɛlɪ# | *#wˈɛle# | *#βˈɛlɪ# | *#βˈɛlɪ# | *#vˈɛːlə# | *#vˈɛːl# | *#vˈɛːl# | *#vˈɛl# | *#vˈɛl#
63     | #wˈoli# | *#wˈɒlɪ# | *#wˈole# | *#βˈolɪ# | *#βˈɔlɪ# | *#vˈɔːlˠə# | *#vˈɔːlˠ# | *#vˈɔːlˠ# | *#vˈɔlˠ# | *#vˈɔlˠ#
64     | #wˈul# | *#wˈʊl# | *#wˈul# | *#βˈul# | *#βˈul# | *#vˈuːl# | *#vˈuːl# | *#vˈuːl# | *#vˈul# | *#vˈul#
65     | #wˈol# | *#wˈɒl# | *#wˈol# | *#βˈol# | *#βˈɔl# | *#vˈɔːl# | *#vˈɔːl# | *#vˈɔːl# | *#vˈɔl# | *#vˈɔl#
66     | #lˈeɡit# | *#lˈɛɡɪ# | *#lˈɛɡe# | *#lˈiɟɪ# | *#lˈiɟɪ# | *#lˈiɟə# | *#lˈiɟ# | *#lˈiɟ# | *#lˈiɟ# | *#lˈiɟ#
67     | #tˈempum# | *#tˈɛmpʊ# | *#tˈɛmpu# | *#tˈɛmpu# | *#tˈɛ̃mpu# | *#tˈɛ̃mbə# | *#tˈɛ̃mb# | *#tˈɛ̃mb# | *#tˈɛmb# | *#tˈɛmb#
68     | #pˌermˌɑnnˌɑːrˈiːbit# | *#pˌɛrmˌɑnnˌɑːrˈiβɪ# | *#pˌɛrmˌɑnːˌɑrˈiβe# | *#pˌɛrmˌanːˌarˈiwɪ# | *#pɪɾmə̃nːˌaɾˈiː# | *#pəɾmə̃nːˌaɾˈiː# | *#pɾ̩mə̃nːˌaɾˈiː# | *#pɾ̩mnˌaɾˈiː# | *#pɾ̩mnaɾˈi# | *#pəɾmnaɾˈi#
69     | #pˌermˌɑnnˌɑːrˈiːbitɑ# | *#pˌɛrmˌɑnnˌɑːrˈiβʊtɑ# | *#pˌɛrmˌɑnːˌɑrˈiβutɑ# | *#pˌɛrmˌanːˌarˈiwuta# | *#pɪɾmə̃nːˌaɾˈiːta# | *#pəɾmə̃nːˌaɾˈiːta# | *#pɾ̩mə̃nːˌaɾˈiːtə# | *#pɾ̩mnˌaɾˈiːtə# | *#pɾ̩mnaɾˈitə# | *#pəɾmnaɾˈitə#
70     | #pˌermˌɑnnˈɑːriet# | *#pˌɛrmˌɑnnˈɑːrjɛ# | *#pˌɛrmˌɑnːˈɑrjɛ# | *#pˌɛrmˌanːˈerːjɛ# | *#pɪɾmə̃nːˈerːjɛ# | *#pəɾmə̃nːˈɑːrːjɛ# | *#pɾ̩mə̃nːˈaːrɛ# | *#pɾ̩mnˈaːrɛ# | *#pɾ̩mnˈarɛ# | *#pəɾmnˈarɛ#
71     | #pˌermˌɑnnˈɑːrietɑ# | *#pˌɛrmˈɑnnɑːrjɛtɑ# | *#pˌɛrmˈɑnːɑrjɛtɑ# | *#pˌɛrmˈanːarːjɛta# | *#pɪɾmˈãnːɐrːjɛta# | *#pəɾmˈãnːɐrːjɛta# | *#pɾ̩mˈʌ̃nːərjtə# | *#pɾ̩mˈə̃nərjtə# | *#pɾ̩mˈənərjtə# | *#pəɾmˈənərjtə#
72     | #pˌermˌɑnnˈɑːriɑt# | *#pˌɛrmˌɑnnˈɑːrjɑ# | *#pˌɛrmˌɑnːˈɑrjɑ# | *#pˌɛrmˌanːˈerja# | *#pɪɾmə̃nːˈeɾja# | *#pəɾmə̃nːˈɛːɾja# | *#pɾ̩mə̃nːˈɛːɾɛ# | *#pɾ̩mnˈɛːɾɛ# | *#pɾ̩mnˈɛɾɛ# | *#pəɾmnˈɛɾɛ#
73     | #pˌermˌɑnnˈɑːriɑtɑ# | *#pˌɛrmˈɑnnɑːrjɑtɑ# | *#pˌɛrmˈɑnːɑrjɑtɑ# | *#pˌɛrmˈanːarjata# | *#pɪɾmˈãnːɐɾjɐta# | *#pəɾmˈãnːɐɾjɐta# | *#pɾ̩mˈʌ̃nːrtə# | *#pɾ̩mˈə̃nrtə# | *#pɾ̩mˈənrtə# | *#pəɾmˈənrtə#
74     | #pˌermˌɑnnˈɑːriret# | *#pˌɛrmˈɑnnɑːrɪrɛ# | *#pˌɛrmˈɑnːɑrerɛ# | *#pˌɛrmˈanːarɪrɪ# | *#pɪɾmˈãnːɐɾɾɪ# | *#pəɾmˈãnːɐrːə# | *#pɾ̩mˈʌ̃nːr# | *#pɾ̩mˈə̃nr# | *#pɾ̩mˈənr# | *#pəɾmˈənr#
75     | #pˌermˌɑnnˈɑːriretɑ# | *#pˌɛrmˈɑnnɑːrɪrɛtɑ# | *#pˌɛrmˈɑnːɑrertɑ# | *#pˌɛrmˈanːarɪrta# | *#pɪɾmˈãnːɐɾɾta# | *#pəɾmˈãnːɐrːta# | *#pɾ̩mˈʌ̃nːɾtə# | *#pɾ̩mˈə̃nɾtə# | *#pɾ̩mˈənɾtə# | *#pəɾmˈənɾtə#
76     | #plˈɑket# | *#plˈɑkɛ# | *#plˈɑkɛ# | *#plˈacɪ# | *#plˈacɪ# | *#plˈacə# | *#plˈac# | *#plˈac# | *#plˈac# | *#plˈac#
77     | #plˈɑketɑ# | *#plˈɑkɛtɑ# | *#plˈɑʎɛtɑ# | *#plˈaʎɪta# | *#plˈaʎɪta# | *#plˈaːʎta# | *#pɾˈaːʎtə# | *#pɾˈaːʎtə# | *#pɾˈajtə# | *#pɾˈajtə#
78     | #plˌɑkˈeːbit# | *#plˌɑkˈeːβɪ# | *#plˌɑkˈiβe# | *#pləcˈiwɪ# | *#pləcˈiː# | *#pləcˈiː# | *#pl̩cˈiː# | *#pl̩cˈiː# | *#pl̩cˈi# | *#pəlcˈi#
79     | #plˌɑkˈeːbitɑ# | *#plˌɑkˈeːβʊtɑ# | *#plˌɑkˈeβutɑ# | *#pləcˈewuta# | *#pləcˈeːta# | *#pləcˈɛːta# | *#pl̩cˈɛːtə# | *#pl̩cˈɛːtə# | *#pl̩cˈɛtə# | *#pəlcˈɛtə#
80     | #plˈɑkeɑt# | *#plˈɑkjɑ# | *#plˈɑkjɑ# | *#plˈacja# | *#plˈacja# | *#plˈacja# | *#plˈacɛ# | *#plˈacɛ# | *#plˈacɛ# | *#plˈacɛ#
81     | #plˈɑkeɑtɑ# | *#plˈɑkjɑtɑ# | *#plˈɑkjɑtɑ# | *#plˈacjata# | *#plˈacjɐta# | *#plˈacjɐta# | *#plˈactə# | *#plˈactə# | *#plˈactə# | *#plˈat͡ʃtə#
82     | #plˌɑkˈeːretɑ# | *#plˌɑkˈeːrɛtɑ# | *#plˌɑkˈertɑ# | *#pləcˈerta# | *#pləcˈeɾta# | *#pləcˈɛːɾta# | *#pɾ̩cˈɛːɾtə# | *#pɾ̩cˈɛːɾtə# | *#pɾ̩cˈɛɾtə# | *#pəɾcˈɛɾtə#
83     | #plˌɑkˈeːret# | *#plˌɑkˈeːrɛ# | *#plˌɑkˈerɛ# | *#pləcˈirɪ# | *#pləcˈiɾɪ# | *#pləcˈiːɾə# | *#pɾ̩cˈiːɾ# | *#pɾ̩cˈiːɾ# | *#pɾ̩cˈiɾ# | *#pəɾcˈiɾ#
84     | #wˈentɑj# | *#wˈɛntɑj# | *#wˈɛntɑj# | *#βˈɛntaj# | *#βˈɛ̃ntaj# | *#vˈɛ̃ndaj# | *#vˈɛ̃ndɛː# | *#vˈɛ̃ndɛː# | *#vˈɛndɛ# | *#vˈɛndɛ#
85     | #lˈokiː# | *#lˈɒki# | *#lˈoki# | *#lˈocɪ# | *#lˈɔcɪ# | *#lˠˈɔcə# | *#lˠˈɔc# | *#lˠˈɔc# | *#lˠˈɔc# | *#lˠˈɔc#
