etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg | Proto-Tosk | Old North Tosk | Output {GOLD}
12     | ... | ... | ... | *#iːsˈɑmnum# | *#isˈɑmnʊ# | *#isˈɑmnu# | *#sˈamnu# | *#ʃˈãmnu# | *#ʃˈãm# | *#ʃˈãm# | *#ʃˈə̃m# | *#ʃˈəm# | *#ʃˈəm# {GOLD: #ˈiʃəm#}
13     | ... | ... | ... | *#hˈɔːkʰron# | *#hˈɔːkʰrɔ# | *#hˈøkro# | *#hˈøkro# | *#hˈœkɾɔ# | *#hˈɛkɾ# | *#hˈɛkɾ̩# | *#hˈɛkɾ̩# | *#hˈɛkɾ̩# | *#hˈɛkəɾ# {GOLD: #ˈɔkəɾ#}
14     | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌalˠˈɔɡər# | *#kˌalˠˈɔɡɾ̩# | *#kˌalˠˈɔɡɾ̩# | *#kˌalˠˈɔɡɾ̩# | *#kalˠˈɔɡəɾ# {GOLD: #kalˠˈɔɟɛɾ#}
15     | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌatˈuo̯# | *#kˌatˈuo̯# | *#kˌatˈua̯# | *#kˌatˈua̯# | *#katˈua̯# {GOLD: #katˈua̯#}
16     | ... | ... | ... | *#kɑstˈon# | *#kɑstˈɔn# | *#kɑstˈon# | *#kastˈon# | *#kəʃtˈɔ̃n# | *#kəʃtˈũo̯# | *#kəʃtˈũo̯# | *#kəʃtˈũa̯# | *#kəʃtˈua̯# | *#kəʃtˈua̯# {GOLD: #kˈaʃtə#}
17     | ... | ... | ... | *#kˌɑstˈɑ# | *#kˌɑstˈɑ# | *#kˌɑstˈɑ# | *#kˌastˈa# | *#kˌaʃtˈa# | *#kɐʃtˈa# | *#kəʃtˈa# | *#ɡəʃtˈa# | *#ɡəʃtˈa# | *#ɡəʃtˈa# {GOLD: #kˈaʃtə#}
18     | ... | ... | ... | *#kˌɑpnˈon# | *#kˌɑpnˈɔn# | *#kˌɑpnˈon# | *#kˌapnˈon# | *#kˌapnˈɔ̃n# | *#kˌapnˈũo̯# | *#kˌamːˈũo̯# | *#kˌamˈũa̯# | *#kˌamˈua̯# | *#kamˈua̯# {GOLD: #kˈam#}
19     | ... | ... | ... | *#kˈɑntʰɑros# | *#kˈɑntʰɑrɔ# | *#kˈɑntɑro# | *#kˈantaro# | *#kˈãntɐɾɔ# | *#kˈãndɐɾ# | *#kˈãndɾ̩# | *#kˈə̃ndɾ̩# | *#kˈəndɾ̩# | *#kˈəndəɾ# {GOLD: #kˈəndəɾ#}
20     | ... | ... | ... | ... | ... | *#kˌɑlˈoɡɛro# | *#kˌalˈoɡɪro# | *#kəlˈɔɟɪɾɔ# | *#kəlˠˈɔɟəɾ# | *#kəlˠˈɔɟɾ̩# | *#kəlˠˈɔɟɾ̩# | *#kəlˠˈɔɟɾ̩# | *#klˠˈɔɟəɾ# {GOLD: #klˠˈɔɟəɾ#}
21     | ... | ... | ... | *#kˌokkˈumɑlon# | *#kˌʊkkˈʊmɑlɔ# | *#kˌukkˈumɑlo# | *#kˌukkˈumalo# | *#kˌuːkˈũmɐlɔ# | *#kˌuːkˈũmɐlˠ# | *#kˌuːkˈũm?2# | *#kˌuːkˈũm?2# | *#kˌukˈum?2# | *#kukˈuməlˠ# {GOLD: #kˈumbulˠ#}
22     | ... | ... | ... | *#ɡˌɑwsˈɒːfon# | *#ɡˌɑwsˈɒːfɔ# | *#ɡˌɑwsˈofo# | *#ɡˌaːsˈofo# | *#ɡˌaːʃˈɔfɔ# | *#ɡˌaːʃˈɔːf# | *#ɡˌaːʃˈɔːf# | *#ɡˌaːʃˈɔːf# | *#ɡˌaʃˈɔf# | *#ɡaʃˈɔf# {GOLD: #ɡəzˈɔf#}
23     | ... | ... | ... | *#kˌorsɔːtˈos# | *#kˌʊrsɔtˈɔs# | *#kˌurstˈos# | *#kˌurtˈos# | *#kˌuːɾtˈɔʃ# | *#kˌuːɾtˈɔːʃ# | *#kˌuːɾtˈɔːʃ# | *#kˌuːɾtˈɔːʃ# | *#kˌuɾtˈɔʃ# | *#kuɾtˈɔʃ# {GOLD: #ɡəɾʃˈɛt#}
24     | ... | ... | ... | *#kˌorsˈɔːton# | *#kˌʊrsˈɔːtɔ# | *#kˌursˈøto# | *#kˌursˈøto# | *#kˌuːɾʃˈœtɔ# | *#kˌuːɾʃˈɛt# | *#kˌuːɾʃˈɛt# | *#kˌuːɾʃˈɛt# | *#kˌuɾʃˈɛt# | *#kuɾʃˈɛt# {GOLD: #ɡəɾʃˈɛt#}
25     | ... | ... | ... | ... | ... | *#ɡrˌɑfˈɛjon# | *#ɡrˌafˈion# | *#ɡɾˌafˈiɔ̃n# | *#ɡɾˌafˈi# | *#ɡɾ̩fˈi# | *#ɡɾ̩fˈi# | *#ɡɾ̩fˈi# | *#ɡəɾfˈi# {GOLD: #ɡəɾfˈɛj#}
26     | ... | ... | ... | *#ɡrˈɑmmɑ# | *#ɡrˈɑmmɑ# | *#ɡrˈɑmmɑ# | *#ɡrˈamma# | *#ɡɾˈãmma# | *#ɡɾˈãmːə# | *#ɡɾˈamːə# | *#ɡɾˈamə# | *#ɡɾˈamə# | *#ɡɾˈamə# {GOLD: #ɡˈəɾmə#}
27     | ... | ... | ... | *#ɡˌɔːljeˈon# | *#ɡˌʊljjˈɔn# | *#ɡˌulːjˈon# | *#ɡˌulːˈon# | *#ɡˌulːˈɔ̃n# | *#ɡˌulːˈũo̯# | *#ɡˌulːˈũo̯# | *#ɡˌulːˈũa̯# | *#ɡˌulˈua̯# | *#ɡulˈua̯# {GOLD: #ɡˈɔlˠ#}
28     | ... | ... | ... | *#hˌɔːljjˈɑnɑː# | *#hˌʊljjˈɑnɑː# | *#hˌulːjˈɑnɑ# | *#ˌuːlːˈena# | *#ˌulːˈẽɾ̃a# | *#ˌulːˈɛ̃ɾ̃ə# | *#ˌulːˈɛ̃ɾ̃ə# | *#ˌulːˈɛ̃ɾ̃ə# | *#ˌulˈɛɾə# | *#ulˈɛɾə# {GOLD: #lˠˈəɾə#}
29     | ... | ... | ... | *#kˈɑnnɑ# | *#kˈɑnːɑ# | *#kˈɑnːɑ# | *#kˈanːa# | *#kˈãnːa# | *#kˈãnːə# | *#kˈanːə# | *#kˈanə# | *#kˈanə# | *#kˈanə# {GOLD: #cˈə#}
30     | ... | ... | ... | *#kjˌerɑsˈiːɑ# | *#kjˌɛrɑsˈiɑ# | *#kjˌɛrɑsˈijɑ# | *#kˌirasˈija# | *#cˌiːɾəʃˈija# | *#cˌiːɾəʃˈiː# | *#cˌiːɾəʃˈiː# | *#cˌiːɾʃˈiː# | *#cˌiɾʃˈi# | *#ciɾʃˈi# {GOLD: #cɛɾʃˈi#}
31     | ... | ... | ... | *#tjjˈɑrmɑ# | *#tjjˈɑrmɑ# | *#t͡ʃjjˈɑrmɑ# | *#t͡ʃˈerma# | *#t͡sˈeɾma# | *#t͡sˈɛːɾmə# | *#t͡sˈɛːɾmə# | *#t͡sˈɛːɾmə# | *#t͡sˈɛɾmə# | *#t͡sˈɛɾmə# {GOLD: #cˈɛɾm#}
32     | ... | ... | ... | ... | ... | *#stˈɛfɑnon# | *#stˈɛfɑ̃ɾ̃on# | *#ʃtˈɛfɐɾ̃ɔ̃n# | *#ʃtˈɛːfɐɾ̃# | *#ʃtˈɛːfəɾ̃# | *#ʃtˈɛːfəɾ̃# | *#ʃtˈɛfəɾ# | *#ʃtˈɛfəɾ# {GOLD: #cˈɛfəɾ#}
33     | ... | ... | ... | ... | ... | *#kˈɛfɑlon# | *#kˈɛfalon# | *#cˈɛfɐlɔ̃n# | *#cˈɛːfɐlˠ# | *#cˈɛːf?2# | *#cˈɛːf?2# | *#cˈɛf?2# | *#cˈɛfəlˠ# {GOLD: #cˈɛfulˠ#}
34     | ... | ... | ... | ... | ... | *#kˌɛrˈijɑ# | *#kərˈija# | *#kəɾˈija# | *#kəɾˈiː# | *#kəɾˈiː# | *#kəɾˈiː# | *#kɾˈi# | *#kɾˈi# {GOLD: #ciɾˈi#}
35     | ... | ... | ... | *#sˈɑrkɑ# | *#sˈɑrkɑ# | *#sˈɑrkɑ# | *#sˈarka# | *#ʃˈaɾka# | *#ʃˈaːɾkə# | *#ʃˈaːɾkə# | *#ʃˈaːɾkə# | *#ʃˈaɾkə# | *#ʃˈaɾkə# {GOLD: #ʃˈaɾk#}
36     | ... | ... | ... | *#sˌuːrˈiːzdoː# | *#sˌuːrˈizdɔ# | *#sˌyrˈizdo# | *#sˌyrˈizdo# | *#ʃˌyːɾˈizdɔ# | *#ʃˌyːɾˈiːzd# | *#ʃˌyːɾˈiːzd# | *#ʃˌyːɾˈiːzd# | *#ʃˌyɾˈizd# | *#ʃyɾˈizd# {GOLD: #ʃəɾˈis#}
37     | ... | ... | ... | *#sjˈelpon# | *#sjˈɛlpɔ# | *#sjˈɛlpo# | *#sˈɛlpo# | *#ʃˈɛlpɔ# | *#ʃˈɛːlp# | *#ʃˈɛːlp# | *#ʃˈɛːlp# | *#ʃˈɛlp# | *#ʃˈɛlp# {GOLD: #ʃˈɛɾp#}
38     | ... | ... | ... | *#skˈɑlmɑːn# | *#skˈɑlmɑː# | *#skˈɑlmɑ# | *#skˈalma# | *#ʃkˈalma# | *#ʃkˈaːlmə# | *#ʃkˈaːlmə# | *#ʃkˈaːlmə# | *#ʃkˈalmə# | *#ʃkˈalmə# {GOLD: #ʃkˈalˠəm#}
39     | ... | ... | ... | *#skˈɑripʰɑ# | *#skˈɑrɪfɑ# | *#skˈɑrefɑ# | *#zɡˈerɪfa# | *#zɟˈeɾɪfa# | *#zɟˈɛːɾəfə# | *#zɟˈɛːɾəfə# | *#zɟˈɛːɾəfə# | *#zɟˈɛɾəfə# | *#zɟˈɛɾəfə# {GOLD: #ʃkˈaɾpə#}
40     | ... | ... | ... | ... | ... | *#skˈɑmnon# | *#skˈamnon# | *#ʃkˈãmnɔ̃n# | *#ʃkˈãm# | *#ʃkˈam# | *#ʃkˈam# | *#ʃkˈam# | *#ʃkˈam# {GOLD: #ʃkˈam#}
41     | ... | ... | ... | *#skˈɑpon# | *#skˈɑpɔ# | *#skˈɑpo# | *#skˈapo# | *#ʃkˈapɔ# | *#ʃkˈap# | *#ʃkˈap# | *#ʃkˈap# | *#ʃkˈap# | *#ʃkˈap# {GOLD: #ʃkˈɔp#}
42     | ... | ... | ... | *#skˌɑmpˈiːnon# | *#skˌɑmpˈinɔ# | *#skˌɑmpˈino# | *#skˌampˈino# | *#ʃkˌãmpˈĩnɔ# | *#ʃkˌãmbˈĩːn# | *#ʃkˌãmbˈĩːn# | *#ʃkˌə̃mbˈĩː# | *#ʃkəmbˈi# | *#ʃkəmbˈi# {GOLD: ...}
43     | ... | ... | ... | ... | ... | *#skˈemni# | *#skˈemnɪ# | *#ʃcˈẽmnɪ# | *#ʃcˈɛ̃m# | *#ʃcˈɛ̃m# | *#ʃcˈɛ̃m# | *#ʃcˈɛm# | *#ʃcˈɛm# {GOLD: #ʃcˈɛm#}
44     | ... | ... | ... | *#skʰˈiːnon# | *#skʰˈinɔ# | *#skˈino# | *#skˈino# | *#ʃcˈĩnɔ# | *#ʃcˈĩː# | *#ʃcˈĩː# | *#ʃcˈĩː# | *#ʃcˈi# | *#ʃcˈi# {GOLD: #ʃcˈind#}
45     | ... | ... | ... | *#stˈɑmnon# | *#stˈɑmnɔ# | *#stˈɑmno# | *#stˈamno# | *#ʃtˈãmnɔ# | *#ʃtˈãm# | *#ʃtˈãm# | *#ʃtˈə̃m# | *#ʃtˈəm# | *#ʃtˈəm# {GOLD: #ʃtˈəmbə#}
46     | ... | ... | ... | *#stjˈeripʰɑ# | *#stjˈɛrɪfɑ# | *#st͡ʃjˈɛrefɑ# | *#st͡ʃˈirɪfa# | *#ʃˈiɾɪfa# | *#ʃˈiːɾəfə# | *#ʃˈiːɾəfə# | *#ʃˈiːɾəfə# | *#ʃˈiɾəfə# | *#ʃˈiɾəfə# {GOLD: #ʃtˈɛɾpə#}
47     | ... | ... | ... | *#hˈɑstibon# | *#hˈɑstɪbɔ# | *#hˈɑsteβo# | *#hˈestɪwo# | *#hˈeʃtɪwɔ# | *#hˈɛːʃtəw# | *#hˈɛːʃtəw# | *#hˈɛːʃtəv# | *#hˈɛʃtəv# | *#hˈɛʃtəv# {GOLD: #ʃtˈip#}
48     | ... | ... | ... | ... | ... | *#stˈylɑ# | *#stˈyla# | *#ʃtˈyla# | *#ʃtˈyːlˠə# | *#ʃtˈyːlˠə# | *#ʃtˈyːlˠə# | *#ʃtˈylˠə# | *#ʃtˈylˠə# {GOLD: #ʃtˈylˠə#}
49     | ... | ... | ... | *#spˈɑron# | *#spˈɑrɔ# | *#spˈɑro# | *#spˈaro# | *#ʃpˈaɾɔ# | *#ʃpˈaːɾ# | *#ʃpˈaːɾ# | *#ʃpˈaːɾ# | *#ʃpˈaɾ# | *#ʃpˈaɾ# {GOLD: #ʃpˈaɾ#}
50     | ... | ... | ... | *#spˈɑrɡɑnon# | *#spˈɑrɡɑnɔ# | *#spˈɑrɡɑno# | *#spˈarɡɑ̃ɾ̃o# | *#ʃpˈaɾɡɐɾ̃ɔ# | *#ʃpˈaːɾɡɐɾ̃# | *#ʃpˈaːɾɡəɾ̃# | *#ʃpˈaːɾɡəɾ̃# | *#ʃpˈaɾɡəɾ# | *#ʃpˈaɾɡəɾ# {GOLD: #ʃpˈaɾɡəɾ#}
51     | ... | ... | ... | *#spˈɑrtɑ# | *#spˈɑrtɑ# | *#spˈɑrtɑ# | *#spˈarta# | *#ʃpˈaɾta# | *#ʃpˈaːɾtə# | *#ʃpˈaːɾtə# | *#ʃpˈaːɾtə# | *#ʃpˈaɾtə# | *#ʃpˈaɾtə# {GOLD: #ʃpˈaɾtə#}
52     | ... | ... | ... | *#ˌɑspjellˈon# | *#ˌɑspjɛllˈɔn# | *#ˌɑspjɛlːˈon# | *#ˌaːspjɛlːˈon# | *#ˌaʃpjɪlːˈɔ̃n# | *#ˌaʃpjəlːˈũo̯# | *#ˌaʃpjəlːˈũo̯# | *#ˌaʃpjəlːˈũa̯# | *#ˌaʃpjəlˈua̯# | *#aʃpjəlˈua̯# {GOLD: #ʃpˈɛl#}
53     | ... | ... | ... | *#spjˈɛːlɑiːɑ# | *#spjˈɛːlɑjɑ# | *#spjˈɛlɑjɑ# | *#spˈɛlaja# | *#ʃpˈɛlɐja# | *#ʃpˈɛːlˠɐjə# | *#ʃpˈɛːlˠəjə# | *#ʃpˈɛːlˠəj# | *#ʃpˈɛlˠəj# | *#ʃpˈɛlˠəj# {GOLD: #ʃpˈɛlə#}
54     | ... | ... | ... | *#spˈonɡiːɑ# | *#spˈʊnɡjɑ# | *#spˈuɲjɑ# | *#spˈuɲa# | *#ʃpˈũɲa# | *#ʃpˈũɲə# | *#ʃpˈũɲə# | *#ʃpˈũɲə# | *#ʃpˈuɲə# | *#ʃpˈuɲə# {GOLD: #ʃpˈuzə#}
55     | ... | ... | ... | *#spˈonɟɑ# | *#spˈʊnɟɑ# | *#spˈunɟɑ# | *#spˈunɟa# | *#ʃpˈũnɟa# | *#ʃpˈũnɟə# | *#ʃpˈũɲɟə# | *#ʃpˈũɲɟə# | *#ʃpˈuɲɟə# | *#ʃpˈuɲɟə# {GOLD: #ʃpˈuzə#}
56     | ... | ... | ... | *#tʰˈipʰjɛːn# | *#tʰˈɪfjɛː# | *#tˈifjɛ# | *#tˈifjɛ# | *#tˈifjɛ# | *#tˈiːfɛ# | *#tˈiːfɛ# | *#tˈiːfɛ# | *#tˈifɛ# | *#tˈifɛ# {GOLD: #tˈɛpə#}
57     | ... | ... | ... | *#tˈomɒːros# | *#tˈɔmɒrɔ# | *#tˈomoro# | *#tˈomoro# | *#tˈɔ̃mɔɾɔ# | *#tˈɔ̃mɔɾ# | *#tˈɔ̃mɾ̩# | *#tˈɔ̃mɾ̩# | *#tˈɔmɾ̩# | *#tˈɔməɾ# {GOLD: #tɔmˈɔr#}
58     | ... | ... | ... | ... | ... | *#tˌɛtrˈɑnɡuron# | *#tˌɛtrˈanɡuron# | *#ttɾˈãnɡuɾɔ̃n# | *#tːɾˈãnɡuɾ# | *#tːɾˈaŋɡuɾ# | *#tːɾˈaŋɡuɾ# | *#tɾˈaŋɡuɾ# | *#tɾˈaŋɡuɾ# {GOLD: #tɾˈaŋɡulˠ#}
59     | ... | ... | ... | ... | ... | *#trjˌɑntˈefilːon# | *#trˌentˈefɪlːon# | *#tɾə̃ntˈefɪlːɔ̃n# | *#tɾə̃ndˈɛːfəlː# | *#tɾə̃ndˈɛːfl̩ː# | *#tɾə̃ndˈɛːfl̩ː# | *#tɾəndˈɛfl̩# | *#tɾəndˈɛfəl# {GOLD: #tɾəndafˈil#}
60     | ... | ... | ... | *#tʰˈumbrɑː# | *#tʰˈʊmbrɑː# | *#tˈumbrɑ# | *#tˈumbra# | *#tˈũmbɾa# | *#tˈũmbɾə# | *#tˈũmbɾ̩# | *#tˈũmbɾ̩# | *#tˈumbɾ̩# | *#tˈumbəɾ# {GOLD: #tɾˈumə#}
61     | ... | ... | ... | *#djjˈɑpɑ# | *#djjˈɑpɑ# | *#d͡ʒjjˈɑpɑ# | *#d͡ʒˈepa# | *#zˈepa# | *#zˈɛpə# | *#zˈɛpə# | *#zˈɛpə# | *#zˈɛpə# | *#zˈɛpə# {GOLD: #djˈɛp#}
62     | ... | ... | ... | *#dˌusrhˈɑkʰiːon# | *#dˌʊsrhˈɑkʰjɔ# | *#dˌusrhˈɑkjo# | *#dˌushˈekjo# | *#dˌuhˈecjɔ# | *#dˌu?1ˈɛcj# | *#dˌu?1ˈɛc# | *#dˌu?3ˈɛc# | *#dˌu?3ˈɛc# | *#du?3ˈɛc# {GOLD: #dˈurəs#}
63     | ... | ... | ... | *#dˌyːrrˈɑkʰiːum# | *#dˈirrɑkʰjʊ# | *#dˈirrɑkju# | *#dˈirrakju# | *#dˈiɾɾɐcju# | *#dˈiːrːɐcj# | *#dˈiːɾc# | *#dˈiːɾc# | *#dˈiɾc# | *#dˈiɾc# {GOLD: #dˈurəs#}
64     | ... | ... | ... | *#durrhˈɑcum# | *#dʊrrhˈɑcʊ# | *#durrhˈɑcu# | *#durhˈacu# | *#duɾhˈacu# | *#duɾhˈac# | *#duɾhˈac# | *#duɾhˈac# | *#duɾhˈac# | *#duɾhˈac# {GOLD: #dˈurəs#}
65     | ... | ... | ... | *#drˈɑpɑnon# | *#drˈɑpɑnɔ# | *#drˈɑpɑno# | *#drˈapɑ̃ɾ̃o# | *#dɾˈapɐɾ̃ɔ# | *#dɾˈapɐɾ̃# | *#dɾˈapəɾ̃# | *#dɾˈapəɾ̃# | *#dɾˈapəɾ# | *#dɾˈapəɾ# {GOLD: #dɾˈapəɾ#}
66     | ... | ... | ... | *#drˈɑniːn# | *#drˈɑni# | *#drˈɑni# | *#drˈenɪ# | *#dɾˈẽɾ̃ɪ# | *#dɾˈɛ̃ː# | *#dɾˈɛ̃ː# | *#dɾˈɛ̃ː# | *#dɾˈɛ# | *#dɾˈɛ# {GOLD: #dɾˈɛ#}
67     | ... | ... | ... | *#drˈiːwɑston# | *#drˈiwɑstɔ# | *#drˈiwɑsto# | *#drˈiwasto# | *#dɾˈiːʃtɔ# | *#dɾˈiːʃt# | *#dɾˈiːʃt# | *#dɾˈiːʃt# | *#dɾˈiʃt# | *#dɾˈiʃt# {GOLD: #dɾˈiʃt#}
68     | ... | ... | ... | ... | ... | ... | ... | ... | *#t͡sˌarˈuxɛ# | *#t͡sˌaɾˈuxɛ# | *#t͡sˌaɾˈuhɛ# | *#t͡sˌaɾˈuhɛ# | *#t͡saɾˈuhɛ# {GOLD: #t͡saɾˈucɛ#}
69     | ... | ... | ... | ... | ... | ... | ... | ... | *#sˌimːaxˈuo̯r# | *#sˌimːaxˈuo̯ɾ# | *#sˌimahˈua̯ɾ# | *#sˌimahˈua̯ɾ# | *#simahˈua̯ɾ# {GOLD: #simahˈua̯ɾ#}
70     | ... | ... | ... | ... | ... | ... | ... | ... | *#skˈimə# | *#skˈimə# | *#skˈimə# | *#skˈimə# | *#scˈimə# {GOLD: #scˈimə#}
71     | ... | ... | ... | *#hˌɑjɟɑlˈon# | *#hˌɑjɟɑlˈɔn# | *#hˌɑjɟɑlˈon# | *#ɟalˈon# | *#ɟəlˈɔ̃n# | *#ɟəlˠˈũo̯# | *#ɟəlˠˈũo̯# | *#ɟəlˠˈũa̯# | *#ɟəlˠˈua̯# | *#ɟəlˠˈua̯# {GOLD: #zˈalˠ#}
72     | ... | ... | ... | *#dˌiːjˈɛːmjeron# | *#dˌijˈɛːmjɛrɔ# | *#dˌijˈɛmjɛro# | *#dˌijˈimjɛro# | *#djˈĩmjɛɾɔ# | *#djˈĩmjɛɾ# | *#dˈĩmjɾ̩# | *#dˈĩmjɾ̩# | *#dˈimjɾ̩# | *#dˈimjəɾ# {GOLD: #zˈəməɾ#}
73     | ... | ... | ... | ... | ... | *#jod͡zˈɛfo# | *#jod͡zˈɛfo# | *#jɔzˈɛfɔ# | *#jɔzˈɛːf# | *#jɔzˈɛːf# | *#jɔzˈɛːf# | *#jɔzˈɛf# | *#jɔzˈɛf# {GOLD: #zˈɛf#}
74     | ... | ... | ... | ... | ... | *#θˈɑmnɑ# | *#θˈamna# | *#θˈãmna# | *#θˈãmːə# | *#θˈãmːə# | *#θˈə̃mə# | *#θˈəmə# | *#θˈəmə# {GOLD: #θˈanə#}
75     | ... | ... | ... | ... | ... | ... | ... | ... | *#ðjˈak# | *#ðjˈak# | *#ðjˈak# | *#ðjˈak# | *#ðjˈak# {GOLD: #ðjˈak#}
76     | ... | ... | ... | *#hˌɑjd͡zˈiːd͡zɑː# | *#hˌɑjðˈiðɑː# | *#hˌɑjðˈiðɑ# | *#ðˈiða# | *#ðˈiða# | *#ðˈiðə# | *#ðˈiðə# | *#ðˈiðə# | *#ðˈiðə# | *#ðˈiðə# {GOLD: #ðˈi#}
77     | ... | ... | ... | *#hˌɑjd͡zˈiːjɑː# | *#hˌɑjðˈijɑː# | *#hˌɑjðˈijɑ# | *#ðˈija# | *#ðˈija# | *#ðˈijə# | *#ðˈijə# | *#ðˈijə# | *#ðˈijə# | *#ðˈijə# {GOLD: #ðˈi#}
78     | ... | ... | ... | ... | ... | ... | ... | ... | *#ðˈiːsk# | *#ðˈiːsk# | *#ðˈiːsk# | *#ðˈisk# | *#ðˈisk# {GOLD: #ðˈisk#}
79     | ... | ... | ... | ... | ... | ... | ... | ... | *#ðˈɔm# | *#ðˈɔm# | *#ðˈɔm# | *#ðˈɔm# | *#ðˈɔm# {GOLD: #ðˈɔmə#}
80     | ... | ... | ... | ... | ... | *#ˌɑnˌɑfˈorɑ# | *#nˌafˈora# | *#nˌafˈɔɾa# | *#nˌafˈɔːɾə# | *#nˌafˈɔːɾə# | *#nˌafˈɔːɾə# | *#nˌafˈɔɾə# | *#nafˈɔɾə# {GOLD: #nafˈɔɾə#}
81     | ... | ... | ... | *#nɑiːssˈon# | *#nɑissˈɔn# | *#nɑissˈon# | *#naissˈon# | *#nəɪʃˈɔ̃n# | *#nəʃˈũo̯# | *#nəʃˈũo̯# | *#nəʃˈũa̯# | *#nəʃˈua̯# | *#nəʃˈua̯# {GOLD: #nˈiʃ#}
82     | ... | ... | ... | ... | ... | ... | ... | ... | *#lˌanɡˈuo̯# | *#lˌaŋɡˈuo̯# | *#lˌaŋɡˈua̯# | *#lˌaŋɡˈua̯# | *#laŋɡˈua̯# {GOLD: #laŋɡˈua̯#}
