etID  | Proto-Tosk | Old North Tosk | Output {GOLD}
99     | #kˌɒt͡ʃˈubɛlɪ# | *#kˌɒt͡ʃˈubɛlɪ# | *#kɒt͡ʃˈubɛlɪ# {GOLD: #kat͡ʃˈubəl#}
100    | #kˌɒt͡ʃˈulʊ# | *#kˌɒt͡ʃˈulʊ# | *#kɒt͡ʃˈulʊ# {GOLD: #kat͡ʃˈul#}
101    | #kˌɒt͡ʃurˈɛlʊ# | *#kˌɒt͡ʃurˈɛlʊ# | *#kɒt͡ʃurˈɛlʊ# {GOLD: #kat͡ʃurˈɛl#}
102    | #kˌɑdˈitɪ# | *#kˌadˈitɪ# | *#kadˈitɪ# {GOLD: #kadˈit#}
103    | #kˌɑlibˈɔbʊ# | *#kˌaləbˈɔbʊ# | *#kaləbˈɔbʊ# {GOLD: #kalibɔbə#}
104    | #kˌɑmɛnˈit͡sɑ# | *#kˌamənˈit͡sə# | *#kamənˈit͡sə# {GOLD: #kamˈit͡sə#}
105    | #kˌɑpˈitɪ# | *#kˌapˈitɪ# | *#kapˈitɪ# {GOLD: #kapˈit#}
106    | #kˌɑsnˈɪt͡sɪ# | *#kˌasnˈɪt͡sɪ# | *#kasnˈɪt͡sɪ# {GOLD: #kasnˈɛt͡s#}
107    | #kˌɑstrɑβˈɪt͡sɪ# | *#kˌastravˈɪt͡sɪ# | *#kastravˈɪt͡sɪ# {GOLD: #kastɾavˈɛt͡s#}
108    | #kˌɑznˈɪt͡sɪ# | *#kˌaznˈɪt͡sɪ# | *#kaznˈɪt͡sɪ# {GOLD: #kasnˈɛt͡s#}
109    | #kˈəlkə# | *#kˈəlkə# | *#kˈəlkə# {GOLD: #kˈəlˠk#}
110    | #kˌərbˈɑt͡ʃɪ# | *#kərbˈat͡ʃɪ# | *#kərbˈat͡ʃɪ# {GOLD: #kəɾbˈat͡ʃ#}
111    | #kˌərkˈɑtɪ# | *#kərkˈatɪ# | *#kərkˈatɪ# {GOLD: #kaɾkˈat#}
112    | #kˈərpɑ# | *#kˈərpə# | *#kˈərpə# {GOLD: #kˈəɾpə#}
113    | #klˈɑpɑ# | *#klˈapə# | *#klˈapə# {GOLD: #klˠˈapə#}
114    | #klˌɑpˈitɪ# | *#klˌapˈitɪ# | *#klapˈitɪ# {GOLD: #klˠapˈit#}
115    | #klˌɔt͡ʃˈitɪ# | *#klˌɔt͡ʃˈitɪ# | *#klɔt͡ʃˈitɪ# {GOLD: #klˠɔt͡ʃˈit#}
116    | #kʎˈut͡ʃɪ# | *#cˈut͡ʃɪ# | *#cˈut͡ʃɪ# {GOLD: #kˈyt͡ʃ#}
117    | #kˈɔbɪ# | *#kˈɔbɪ# | *#kˈɔbɪ# {GOLD: #kˈɔb#}
118    | #kˌɔ̃kˈɔlə# | *#kˌɔkˈɔlə# | *#kɔkˈɔlə# {GOLD: #kɔŋkˈɔl#}
119    | #kˌɔlˈɑt͡ʃɪ# | *#kˌɔlˈat͡ʃɪ# | *#kɔlˈat͡ʃɪ# {GOLD: #kulˈat͡ʃ#}
120    | #kˈɔlə# | *#kˈɔlə# | *#kˈɔlə# {GOLD: #kˈɔlˠ#}
